面积,价格,所在街道
30,1000,梨双路
42.96,1700,华龙道80号
54,1300,北辰路
30,1250,津滨大道
46.37,3700,滨江道221号
76.55,2700,艳阳路
77,2300,津滨大道
90,1900,"双新大道,近顺境路"
183.72,17000,滨江道41号
44.19,1700,华龙道80号
82.4,1500,双进道
95.93,2600,顺义道67号
40.96,1900,昆纬路99号
109.85,6000,凌宾路
47.8,1300,京津路1号
104,2000,杭州道
30,1550,卫国道157号
56.18,4200,卫津路171号
30,1000,栖霞道
71.97,2600,"八纬路,近十五经路"
60,2300,南京路125号
30,1200,"鑫怡路,近建明道"
125,8000,滨江道41号
51.04,1900,"芥园道,近怡华路"
30,1400,"富安路,近津塘公路"
34.02,1000,解放路
15,1200,"华宁道,近盈江路"
47,2100,艳阳路
90,5000,"海河东路,近黑牛城道"
30,1300,317省道
50,2200,"新开路,近华龙道"
76,1800,塘汉路789号
30,1400,卫国道157号
46,1900,苑东路73号
10,830,北辰道
87.12,1500,富民道
85,2500,津涞公路
50.66,3000,琳科西路
77,2200,中心大道66号
85,2550,"大连东道,近春风路"
80,1600,芦北路
87,1300,光明道
93,2800,秀川路215号
49,2300,南泥湾路4号
57.45,2000,"泗水道,近梅林路"
74,1800,梨双路
90,1550,高泰路
80,1700,芦北路
95,1800,"泉州路,近来源道"
40,1600,卉锦道
125,3000,"滨河南路,近河南东路"
88,6300,南京路
83,1600,"团结路,近强国道"
100.87,3800,华龙道
96,2000,南华路9号
93.57,4900,宾水西道
90,1800,人民西大街
88,1500,汉港公路
72.2,2600,海泰南北大街
113.97,5200,宾水西道
104,5200,宾水西道
105,2200,京津公路
67,1800,"鑫怡路,近平凡道"
132,3200,芥园西道
84,1413,"天和路,近于庄路"
72,1500,芦北路
54,1700,南口路
82,2500,海河东路76号
55,1750,"津涞公路,近工一号路"
54.73,1700,南口路
50,1500,京津路1号
226,11000,"北城街,近城厢东路"
59,1500,果园东路
40,1550,卫国道157号
37,1300,临水道
97.63,1500,果园北道36号
55,2600,南京路125号
30,1300,海泰南北大街
75,3500,"宾水西道,近凌宾路"
50,2300,"直沽街,近津塘村道"
63,1200,汇川路
56.7,2000,华苑东路21号
26,2200,拉萨道4号
35.52,1800,南丰路138号
80,1200,辛老路
119.86,1750,万河路
60,2400,富有道
26,2400,拉萨道4号
62,2300,飞云道30号
30,1100,鑫怡路
82,1200,东方红路
77,1600,雅润路
80,2700,艳阳路
88.11,3300,光荣道113号
55,1300,安达路
92,1000,"潮阳大道,近开元路"
64,2400,红旗路181号
65,1700,付村路
85,2300,港滨路
102,3600,"航海道,近东七道"
45,1200,京山南道
44.24,1800,奥运路11
25,2100,拉萨道4号
67.09,3000,钢厂路
78,1200,开元路
130,4000,卫津南路150号
100,1400,林海路
49,2250,南泥湾路4号
45,2500,"解放南路,近浯水道"
89,2800,宜白路
56,1500,"翠通路,近前进道"
35,2600,拉萨道4号
96,2500,津塘公路792号
50,1800,普济河东道
86.45,2800,琳科西路
63,1500,世纪大道
110,5000,"第二大街,近北海路"
40,1400,汇川路
77.88,3000,顺达路
86,4300,南城街857号
88,3500,江湾路
67,3900,大沽南路934号
85,2500,荣盛路
52.33,3000,"八纬路,近十五经路"
94,3600,郁江道
60,1500,雅润路
58,1200,南华路
89.05,2400,惠山道
40.5,1600,华龙道80号
76,1100,"青致路,近新华道"
56,2500,北长路1号
82,1100,东方红路
50,2500,南昌路68号
44,1500,河北路1431号
77,1200,环城西路
60.47,2600,艳阳路
92.67,1550,情景大道
92,1900,新景道
78,1500,中心北路1740号
40,999,津榆支路
55,1400,胜利街571号
135.06,6500,岳阳道88号
54.87,1700,环湖中路16号
30,998,梨双公路
124,3500,"凤山道,近鲁山道"
150,6500,南京路39号
85,1100,环城东路
30,1100,工一号路
33.24,1500,芥园道
37,1300,陵水道
60,2600,"宾水道,近沿河路"
89,6300,南京路
80,2800,红旗南路490号
45,1400,楚雄西道
49,2200,西关大街50号
87,1600,京津路1号
32,1500,大沽南路936号
82,2300,"新家园路,近景茗道"
56.18,1700,天泰路52号
30,1100,工一号路
92,1800,小淀路
50,1400,领世路
60,2000,辰水道1号
58.98,2400,光荣道221号
43,1350,咸阳路
34.18,1800,中心大道66号
60,3600,琳科西路
76,1850,高新大道33号
60,900,香林路
49.75,1000,银河大道1号
40,2000,"吴家窑大街,近贵州路"
106,4000,张自忠路1号
50,2490,长青路
73.45,2200,京津路1号
58,3000,园荫道6号
103,3500,新开路136号
61,1800,车站北路5号
170,9999,新兴路1号
125,2500,抚仙湖路
47.51,2300,北城街
56,1900,雅乐道
95,1400,"南城东路,近林海路"
92.23,2400,
30,1200,"景茗道,近微山南路"
55.74,3100,城厢东路56号
96,1500,天嘉湖大道
81.88,1500,果园北道3号
98.83,2300,银河五路
84,1600,小淀路
89,1250,"广贤路,近世广道"
50,3400,解放南路
202,9000,洞庭路
65.33,3100,"春雨路,近芥园道"
95,3200,瑞雪路
63,1500,景荷道
50,1300,南口路
60,1900,京津路
54.33,2600,红旗路388号
240,5000,禄源道13号
60,1500,咸阳北路
30,1600,"津滨大道,近琳科中路"
40,1350,中北大道94号
63.17,2400,艳阳路
48,1800,黄海路8号
75,1500,杨崔路
65,3300,津港路
71,2300,东马路
52.71,2900,"福安大街,近南市大街"
38,1700,梅苑路
30.18,900,北辰路
45,1750,"齐河路,近东平路"
57.08,2800,华苑路
84.92,2900,月牙河南路35号
92.04,1700,顺畅路16号
58.8,1600,果园东路
87,2300,港滨路961号
45,2000,昆仑路
18,760,咸阳路
86,1700,嘉园路
106,1500,津港公路
60,1300,津港公路
45,2200,昆仑路
107.1,1500,京津路1号
59.78,1200,"双川道,近双辰北路"
128,6000,洞庭路92号
42.46,1500,中心北路1740号
90.65,4200,"月牙河南路,近海河东路"
54.73,3000,绵阳道22号
20,950,新环路
82.41,1200,双进道
20,750,外环南路
40,700,津塘公路
40,700,津塘公路
105.84,2000,云丽北道18号
66,1700,泰兴路
39.07,3500,南昌路70号
55,2800,气象台路22号
43,2300,珠江道25号
45,3000,环湖北道6号
38.98,3200,"八纬路,近大直沽西路"
84,1500,"福东路,近津塘路"
78,800,同旺路2号
81.9,2400,红旗南路
77.78,1900,雪山路
94,2000,津滨大道
45,1800,微山路38号
71.28,3500,"文静路,近宾馆路"
47,1200,果园东路6号
40,1100,富民路
87.06,4200,卫津南路
84,800,宝白公路
80.9,1600,双东路4号
74,1500,"团结路,近强国道"
44,1300,虎丘路
83,1200,"昌盛路,近寿昌路"
150,1000,宝白公路
41,1650,鞍山西道
90.96,2800,胜利路174号
75,900,同旺路2号
100,2300,碧欣路16号
61,1300,外环西路
51.92,1600,学苑路40号
60,1200,福州道55号
87.01,1700,"闸南路,近东台路"
38,850,华东道
83,1500,梨双公路
54.21,1800,真理道47号
67.67,1900,芥园西道
75,900,津同公路151号
39.43,1700,弘贯道
70,1200,柳霞路7号
41.08,1550,"泗水道,近微山路"
80,1100,光明路7号
60,1800,中心大道66号
64,1500,天津大道
79,1000,南付营路
52.05,2800,城厢东路56号
58,1400,宜白路1728号
90,2000,春源道
85,1900,"弘顺道,近华瑞路"
45,1500,"光荣道,近丁字沽三号路"
200,10500,荣业大街76号
50,3000,围堤道118号
84,1500,京津公路
84,1400,青致路2号
230,4500,郎庄子道
53,3000,"北城街,近城厢东路"
107,2000,津港公路
85,1600,湖西路
91,1900,嘉顺路
115,1700,"天和路,近于庄路"
85,2650,华苑东路
49.85,2500,吴家窑大街19号
54,3200,"天塔道,近卫津南路"
57,3100,"古海道,近台儿庄路"
74,1500,泽杨道
45,1375,中北大道94号
54,1600,爱贤道
95,2600,瑞雪路
58.08,1700,均胜路
49.88,2100,红旗路388号
18,1150,红旗南路516号
30,1300,外环西路
61.52,1300,北辰西道
56.08,3000,城厢东路209号
43,1600,河北路1431号
89,1500,津文线
89.95,2600,龙山道
30,1200,中北大道94号
202.18,10000,洞庭路
78,1400,233国道
94.25,4500,琳科西路
50,1700,汪庄村中街
95,2000,新景道
73,1300,果园北道3号
65,2800,北长路1号
102,3590,"航海道,近东七道"
89.31,2800,惠山道
30,1200,"辰景路,近新园路"
125,4500,北海路
84,2800,"泰佳道,近瑶琳路"
92,2500,天河东路
48.81,1850,"直沽街,近津塘村道"
126.7,2500,中津大道980号
45,1200,津塘公路
60,2800,元纬路103号
57,2100,津京公路
110.34,2000,新胡路
80,1800,"欣发道,近嘉顺路"
51.59,2800,黑牛城道9号
79,1600,建设路117号
140,2500,常海道
54,2600,向阳路74号
80,2500,"广秀路,近津涞公路"
76,1800,金江路76号
100,2800,"泰佳道,近瑶琳路"
46.6,1600,"凤亭路,近鲁山道"
75,2900,赛达大道
61,1300,外环西路
55,1100,"翠通路,近前进道"
86,3600,南京路239号
83,1500,辛老路
52.17,2600,城厢东路56号
90,1600,"泉发路,近振华西道"
23,800,恂园西路12号
102,5500,迎水道100号
39.17,1900,中山路
75,2500,东马路
88.71,2600,宜白路
59,1500,"杭州道,近河北路"
53.95,3500,蒙古路13
53.75,3700,北马路339号
60,1650,正新路
10,750,"航宇路,近东七道"
56,2400,芥园西道
55,2800,同安道3
15,1350,东马路
70,2500,西湖村大街22号
87.88,3400,后台西路
65,3000,"福安大街,近南市大街"
120,5700,南京路39号
56.51,2800,林苑道36号
52,2800,琳科西路
58,1500,"紫江路,近南华路"
52.35,1200,朝阳路
56,1600,光荣道
65,1300,"团结路,近强国道"
62,1500,河北路3
120,3800,绥江道
68.8,5000,南京路231号
38.45,1400,车站北路1751号
90,2800,宜白路
98.52,2700,"沁河中道,近淮东路"
42,1200,泰来西道
64.06,2800,昆纬路51号
83.16,2100,延吉道
51.13,2500,金海道106号
23.48,1600,"宾水西道,近凌宾路"
76.8,2000,春风路943号
85,2190,跃进路
85,2000,"沁河中道,近淮东路"
48.22,1400,"凤凰路,近鲁山道"
82,1700,赤海路
30,1200,秀川路215号
30,1450,华苑西路
71.18,2800,华苑路
105,2200,海景八路
62.24,2880,芥园道
77.81,3800,琳科西路
77,3200,"宾水西道,近凌宾路"
55,2000,雅乐道
40,1600,"天广路,近淮河北道"
75.58,5000,南京路231号
90,2500,卫津南路
49,2300,南泥湾路4号
30,1375,塘汉路43号
82,1700,赤海路
114,6000,新兴路1号
57.25,2300,津京公路
83,1600,幺六桥道
81.61,1800,情景大道
87.82,3200,东浯水道
84,1800,"云山道,近谐海路"
56.18,2700,迎风道1号
106.38,4700,津滨大道
97,2000,"双新大道,近顺境路"
66,1500,"闸南路,近东台路"
50.68,2500,中心大道
89,1600,天嘉湖大道
93,1700,广源道
47,1400,先锋路
49.59,2400,九纬路51号
36.56,2000,三潭路125号
59.4,2300,"新环路,近华兴道"
82.13,1600,"民盛道,近泽润路"
55,1700,大沽南路1041号
50,1300,旭华道72号
62,900,中昌北大道
31.42,1500,集园道
58,1166,金钟街
60,1800,泗水道
37,1400,红旗路
82,1800,"高峰路,近延吉道"
76.5,1000,三八河路
88,1900,卫津南路168号
39,900,胜利街598号
55.94,2500,环湖中路
130,1400,东城南路6号
86,1200,北仓道
102,2000,宁波道576号
35,1900,黑牛城道200号
77,1550,外环西路
60,1500,昌图道3号
58,1500,黑牛城道219号
74.5,2900,华苑路
75,1200,万顺街
98,1800,汇川路
62.27,1600,海景十路
120,1700,中北大道
25,1700,黄河道
46.5,2550,新围堤道1号
19,1000,
115,1100,"丰收路,近津沽路"
80,1000,新村路
40,3100,鞍山道
40,1300,"广州道,近车站北路"
117,2000,天嘉湖大道
84,1600,"海兴路,近和商道"
30,1200,工一号路
68,1700,新港路54号
15,980,咸阳路
77,1700,赛达大道
52,1200,嘉园路
20,600,富民路
92.7,1500,辰昌路
20,500,"泉州路,近来源道"
87,1600,津港公路
30,1200,程永道
15,1000,恒山道
14.5,1000,"成林道,近登州路"
89,1500,嘉泰路
30,1200,楚雄西道
93,1700,杨柳青柳霞路
35,1800,简阳路
78,2200,东环路
90,2300,赛达大道
60,1500,芦北路
20,580,"广源道,近泉旺路"
16,950,沁水道
59,1600,"辰兴路,近南仓道"
30,1200,昌凌路
91,2600,春阳路
20,1100,"天池路,近梅州道"
40,1800,广东路
87,3200,"团结环路,近江源东道"
16,1000,沙柳北路
20,1100,湘潭道38号
17,901,珠江道25号
39,900,友谊南路
55,1800,育才西路
65,1100,天嘉湖大道
118,2500,津沽大街
48.48,1500,"凤亭路,近鲁山道"
75,1300,滨湖路
25,1650,翠波道
61.97,3200,洞庭路10号
125,2200,泉州路
48,1700,"密云路,近芥园西道"
89,1700,龙泉道
95,2100,辰兴路
47.4,1100,中学西路
64.78,1700,宜宾道56号
80,4000,江湾路102号
151,3528,宾水西道186号
50.44,4000,北马路339号
84,1700,"嘉顺路,近欣发道"
66,1100,前进道
30,1200,津涞公路
65,4500,"沙市道,近云南路"
66,2700,解放南路26号
127,5000,翠波道
78,1200,南关大街
152,12000,"吴家窑二号路,近成都道"
67,1100,前进道
43.58,4400,九江路
30,1300,昌凌路
64.42,2200,泰来道
318,18000,海河东路518号
90,3500,密云路辅路
63.66,1300,北辰西道
90,2000,"振华西道,近泉保路"
50,1200,华盛道65号
47,1600,辰水道1号
59,1400,辰水道1号
91,1200,南华路
42.45,1800,"八纬路,近大直沽西路"
73,4300,包头道42号
54,1550,"纪庄子前街,近黑牛城道"
26.77,2060,迎风道1号
60,1700,三千路
51.17,1800,八纬北路40号
26,1400,华龙道80号
50,750,四平东道
62,700,宝白公路
34.93,2200,越秀路
41.29,1400,大江路
58.34,1900,大江路
27,1600,南丰路55号
40,650,人民街6号
82.79,2600,华苑东路
78.66,2200,"福东路,近津塘路"
84,1600,雪山路
44,1400,和睦西道11号
22.6,1900,五马路58号
58,1000,无暇街
94,3500,六纬路199号
95.62,2500,"汾河道,近姚江东路"
126,3800,万科花园路
50,750,津同公路151号
86.33,3000,大直沽五号路
43,1700,育红路7号
27.11,1700,平安街56号
34,1300,先锋路
160,7500,万科花园路
47,1300,双环东路
79.97,1300,龙顺道162号
58,1600,"辰兴路,近南仓道"
61.09,1400,果园东路6号
49.4,1800,华龙道80号
82,2200,富民路
51.59,2000,"旌智道,近新英路"
30,1500,宾水西道98号
70,2400,十三经路18号
58,2400,红旗南路
88,5200,南运河南路
97,3800,赛达大道
50.56,2600,冶金路20号
60,2800,桃源村大街
87.6,1200,233国道
50,2400,迎风道1号
47.14,2500,北城街
38,1300,陵水道4号
54,1600,西青道
62,2600,卫津南路37号
65,1200,花园路3号
104.16,2000,杭州道
40,1550,"淮东路,近北辰道"
25,1200,芥园西道
67,1800,富民路
105,3300,海逸道
93.35,4500,宾水西道
73,2000,富民路
193.4,8000,宾水西道189号
65,1700,"名盛道,近华庭路"
88,2000,民盛道
90,1000,"北旺道,近贵昌路"
77,2200,津围公路134号
94.86,2300,祥和大道180号
68,3000,十三经路18号
60,1300,"滨河道,近翠亨路"
50.52,4000,北马路339号
32,2900,拉萨道4号
59.56,2500,南京路125号
40,800,杨六公路
138,3600,盛达街
77.35,1600,"齐河路,近东平路"
90,1600,界河路
57.97,2000,昆纬路99号
90,1160,仁和路
172,8900,友谊路
46.42,1950,金纬路301号
50,1600,雅致道
47,2200,"虹光路,近迎贤道"
39.81,2000,黄河道72号
65,1300,营建路
120,3600,景盛路
130,1600,"南城东路,近北外环路"
99.56,2900,北辰道
38,2000,咸阳路
9,600,"泉尚路,近泉雅道"
27,1600,
80,1600,芦北路
48,2500,"宾水西道,近凌宾路"
97.29,3100,华苑路45号
54,2500,淦江路11号
42.84,2500,艺林路
154,5500,"潭江道,近江水道"
105,2600,宜白路
40.58,1700,月纬路
90,1000,建设路
40.29,2500,迎风道1号
58.93,3300,营口道156号
70,1800,车站北路39号
38.55,2500,岳阳道
87,3200,迎春道389号
40,1600,崂山道
130,1300,环湖东路
70.72,1400,顺畅路104号
76,1100,环湖东路
145,3600,"永宁路,近晨光道"
57,1200,"石化路,近喜荣街"
53,2300,广开大街10号
91,2200,驯海路
82,1400,辛老路
51.02,1800,向阳路60号
60,2111,"律纬路,近三马路"
30,900,京福线
60,1500,艺林路
30,1570,"新桂路,近旌智路"
82,2800,保山道64号
40.82,1500,龙洲道1号
30,900,京福线
57.74,1800,"程永道,近雪山路"
30,1400,万卉路21号
77,1150,丰泽道
59,1500,景荷道
26.7,1400,大江路
33,1300,河北路1431号
82.99,1100,大丰路
168,4500,天嘉湖大道
55.6,3000,"琳科东路,近新阔路"
44,1400,赤龙街
149,7000,宾水西道
77.28,3520,华苑东路
39,1700,丁字沽一号路37号
71.01,1800,"民盛道,近泽润路"
56.27,1300,泽恩路
71,1900,中心大道66号
75,3600,大沽南路934号
30,1550,任环路
68,2200,胜利路174号
103,2000,青远路
88.16,2800,"观湖路,近东五道"
55.39,1500,向阳街
72,1300,果园北道3号
89,2500,光荣道
30,1200,新津一支路
57.2,2600,"宾水道,近环湖中路"
46.16,1600,永进路
48.41,1800,"千山道,近雪山南路"
71.6,1300,果园北道3号
130,2300,顺境北路56号
61.89,2600,金海道106号
99,2500,北辰道
53.77,3600,北马路339号
81,4900,"福安大街,近南市大街"
62.4,2500,"八纬路,近十五经路"
60.96,4500,滨江道221号
93,1500,"双新大道,近顺境路"
40,1200,辽河南道
58,1900,东马路
61,1300,外环西路
48.45,1400,京津路1号
90.65,4200,"月牙河南路,近海河东路"
54.06,1200,"北辰道,近高峰路"
80,2000,谐海路2号
50,2300,南京路125号
90,2500,港滨路961号
105.8,3200,宜白路
85,1850,嘉定西路
71,2000,中心大道66号
69,2300,河北西路1116号
44.35,1550,新大路122号
75,2300,东马路
30,1600,宾水西道98号
50.47,3800,北马路339号
45.21,1100,果园东路6号
94.8,4200,宾水西道
85,2150,港滨路961号
30,1100,工一号路
30,1300,工一号路
30,1500,"昌凌路,近绥江道"
45.12,2200,艳阳路
134.52,4300,"绥江道,近白云山路"
68,2700,华苑东路21号
57,2550,"南丰路,近湖波道"
125,2800,安阳道
39,1100,朝阳路
125,1800,金龙道
44.64,1900,金纬路301号
39,1800,中心大道
90,2500,龙武道
100,3300,海河东路76号
77,1700,雅润路
63,1800,解放路668号
61.52,1700,"程永道,近雪山路"
73.65,1600,"祥云路,近弘信道"
30,1450,卫国道157号
58,2600,飞云道30号
42,1500,红旗路
30,1250,"中北大道,近万卉路"
72,2150,红旗南路
46,2300,"华宁道,近盈江路"
90,1600,永进路628号
30,1300,"景茗道,近微山南路"
43.6,1500,环湖中路30号
73,1300,胡家园街
45,2900,"纪明家园路,近丽江道"
34,2400,"围堤道,近白云路"
80,2400,大沽南路936号
104.96,3600,新开路
38.27,1700,碧祥路
83,1800,外环西路
63,1400,赵新路12号
30,1550,卫国道157号
50,1500,"古北道,近雁门路"
120,2800,宜白路
91.7,3800,"复兴路,近芥园道"
66,3800,围堤道
84.11,1650,外环西路
121.3,2000,小淀路
40,900,果园东路6号
31,2000,广开新街21号
80.44,1400,天嘉湖大道
41.08,2600,广开大街10号
115,900,联盟大街12号
28,1700,昆明路70号
55,1800,南仓道
67,2200,"东五道,近中环东路"
194,12000,宾水西道
51.59,1500,泽润路
69,4000,"隆昌路,近爱国道"
37,1600,五马路122号
145,2100,和旭路
62,1500,外环西路
89,2400,"福明路,近雅馨路"
76.66,1300,新景道
37,2300,南丰路55号
45,2100,"解放南路,近浯水道"
37,2000,"围堤道,近白云路"
65,1000,宣惠路
122,1600,春熙道
92,5500,"八纬路,近十五经路"
76,1100,青沙路
100,4000,领世环路
39.02,2000,广开大街10号
28.32,1600,南丰路138号
86,550,津围公路
53,1200,泰来道
40,2100,红旗南路
58.53,1500,育红路7号
30,600,104国道
59,1400,解放路668号
50,1600,雅致道
50,780,三经路
43,1000,中学西路
39.77,1450,黄纬路1号
78.46,1450,电传路
60,2000,"佳宁道,近辰昌路"
76,1500,北医道
30,850,"滨湖路,近新平路"
90,750,汉王路
79.64,2000,"龙门道,近辰旺路"
54,1100,延吉道
65,700,双丰路
22.68,2200,黄河道60号
122,2800,红星路14号
58.45,1600,岷江路
44.92,900,果园北道36号
82,1500,顺境路212号
110,800,南关大街
54.2,1750,中纺前街38号
80,1800,幸福道
40,900,泰来道
33,1500,卫津南路37号
41.2,1100,万年桥北路
135,1700,小街新苑路
56.85,1100,果园中道
42.69,900,友谊南路
41,1350,辰水道1号
77.11,1000,"红旗路,近津沽大街"
60,1700,东江道11号
28,1400,成林道
30,1208,工一号路
40,1300,昌凌路
46.9,1800,楚雄道77号
101,5200,新兴路66号
60,1800,东江道8号
47.49,1900,艳阳路
47.95,3000,园荫道24号
66,4700,"三马路,近南开二纬路"
90.99,2300,"祁连路,近彩丽环路"
60,1800,艺林路
126,2000,常德道
64.33,1800,"辰兴路,近南仓道"
40,2600,林苑道36号
55,1200,胜利街872号
88,2800,梨双公路
52.31,1669,"律纬路,近三马路"
30,1300,付村路
40,1350,辰水道1号
30,1400,卫国道157号
83.52,6400,琳科西路
70,1500,向阳北街
57.31,2000,苑东路
40,1100,世纪大道80号
45,2600,福建路84号
22.35,2600,解放南路291号
88,1700,梨双公路
65,900,津同公路151号
60,2000,友爱东道
104,3300,时尚西路19号
38,1900,湖镜道1号
89,600,建设路
50,3800,南京路239号
45,1350,楚雄西道
37.66,1400,国宜道
36,1700,"光荣道,近丁字沽二号路"
71.94,1300,爱贤道
30,1600,"华宁道,近盈江路"
51.08,1698,黄纬路32号
95,1600,津涞公路
44.94,1500,津塘路
61.27,3200,"华苑路,近锦环道"
43,900,友谊南路
32,1500,红旗南路
63.95,1800,"辰兴路,近南仓道"
20.71,1200,万东路
35.47,2300,黄河道60号
58.08,1700,"渌水道,近桐林路"
23,1600,建国道92号
37.32,1700,大沽南路
