面积,价格,所在街道,prediction
58.08,1700,"渌水道,近桐林路",0
23,1600,建国道92号,0
37.32,1700,大沽南路,0
53.93,1600,"丁字沽三号路,近绥中路",0
39,800,迎宾街102号,0
45,900,友谊南路,0
86,1400,付营路,0
43,1600,"佳宁道,近辰昌路",0
82,900,政和路,0
49.45,1400,"三千路,近宜白路",0
51.5,1500,双水道,0
70,4500,"西马路,近鼓楼西街",3
102,2000,"三千路,近宜白路",0
56.77,750,"昌盛路,近天山路",0
42.86,1550,鞍山西道307号,0
60,1300,河北路3,0
108.76,3800,卫津路75号,3
104,2000,海泰南北大街,0
60,850,寿昌路,0
61.49,1300,果园北道3号,0
90,1400,津塘公路,0
33,1800,"宾馆南道,近宾馆西路",0
65,1400,103省道,0
71,1300,欣杨道,0
27,1650,"泗水道,近微山路",0
30,900,京福公路,0
60,2500,红旗南路,4
68,1300,顺境北路56号,0
60,1900,黑牛城道219号,0
48.7,2000,"农裕大街,近复康路",0
100,3300,环湖中路,4
35,2100,南丰路138号,4
43,1400,"新港三号路,近港医路",0
55.85,2880,"中孚路,近迎水道",4
44,1500,绍兴道,0
94,1700,新景道,0
55.61,2900,"琳科东路,近新阔路",4
68,1800,汇川路,0
86,1300,"光明道,近南东线",0
30,1000,白万路,0
30,1400,中北大道,0
70.49,1200,京津公路,0
60,950,军粮城大街,0
48.5,1800,西青道,0
140.31,5500,城厢东路209号,3
99,2000,东方红路,0
100,2500,渌水道,4
81.44,1600,顺境路212号,0
30,1600,阜锦道,0
34,1100,"印江路,近乌江路",0
69.37,2500,"泰佳道,近瑶琳路",4
56,2400,"宾水道,近环湖东路",4
42.8,1700,冶金路,0
78,1100,"双川道,近双辰北路",0
125.96,5100,迎水道延长线,3
55,700,宝白大道,0
49.27,3200,凌宾路,4
55,3700,昆明路70号,4
49.6,1700,海洋道,0
45,1500,艺林路,0
110.54,2100,"北辰道,近高峰路",4
94,4800,环岛西路,3
93,3650,"迎水道,近简阳路",4
90.87,1400,情景大道,0
91,2900,"流霞路,近东六道",4
42,1700,解放路668号,0
30,1200,津涞公路,0
40,2100,环湖中路,4
40,2300,大沽南路936号,4
69,1200,东环路,0
85,1500,"泉州路,近来源道",0
80,1300,小街新苑路,0
100,4700,南城街857号,3
63,1750,洪湖南路14号,0
90,3200,苑东路,4
132.73,14400,康王路,1
105,2200,海景十路,4
48,1300,泽恩路,0
38.57,2100,"芥园西道,近咸阳路",4
36.99,1600,陵水道,0
33,3000,昆明路5号,4
49.09,1100,果园北道3号,0
90,1200,金华路,0
65,2800,蛇口道18号,4
56.77,1250,珠江道,0
67.73,6200,陕西路16号,3
58,1400,文澜街11102号,0
67.48,1400,"龙顺道,近顺境路",0
60,1600,"丁字沽一号路,近向东道",0
50,1900,万峰路29号,0
55,1100,迎宾街102号,0
47.52,4200,南京路239号,3
51,1800,微山路,0
96.26,2700,月牙河南路35号,4
388,4166,珠江北环西路,3
61,2600,黄河道60号,4
94,800,北环东路50号,0
106.55,4300,北城街,3
43.41,1550,红旗路,0
86.17,800,津围公路,0
22,1100,铃铛阁街,0
42,1400,佳宁道,0
90,1500,大安道,0
70,2900,"华苑路,近锦环道",4
75,1300,"团结路,近强国道",0
14.61,1500,洛阳道,0
21,1300,富民路,0
131,1800,滨河道,0
50,2500,"宾水道,近沿河路",4
65.38,1700,团结环路,0
12,1300,凤山道,0
90,1500,光明路,0
60,1550,宜白路,0
78.93,2200,祥辰路,4
63,1200,新景道,0
42.46,2100,汾水道59号,4
55,3500,山西路,4
47,2000,艳阳路,0
56,2500,金钟河大街,4
89.76,2500,盛达街,4
56,2500,"宾水道,近环湖中路",4
57.08,3200,北城街,4
76.45,2800,琳科西路,4
82,2500,"卉康道,近海光路",4
93.53,2000,欣杨道,0
92.59,3600,"中孚路,近迎水道",4
47,1900,艳阳路,0
83.19,3300,玉带路,4
83,1400,光明路,0
30,1500,华苑西路,0
75,2500,浯水道,4
107,2500,津围公路,4
30,1500,友谊路,0
103,1800,新华道51号,0
66.63,4500,海河东路22号,3
81,1224,"天和路,近于庄路",0
33,1600,新港三号路,0
52.36,1900,"团结环路,近江源东道",0
76.62,2500,艳阳路,4
130,2700,"淮东路,近北辰道",4
66.67,1400,京津路1号,0
41,1900,苑中路,0
66.38,1400,"天津大道,近闸南路",0
66,1300,"闸南路,近东台路",0
40,3500,西宁道81号,4
118,1600,前进道,0
84,1350,前进道,0
93.53,4200,新博路4号,3
100,2950,万德庄南北街,4
60,1900,洪泽路,0
86.8,1400,北辰西道,0
91,1500,齐河路3号,0
80.56,2000,雪山路,0
85,800,"环城南路,近开元路",0
88.5,550,津围公路,0
73.31,2300,红旗南路,4
161,6300,华捷道60号,3
60,1900,三水道,0
53,1200,高峰路,0
89.5,550,津围公路,0
86,1200,东兴道,0
80,1800,"海晨道,近安明路",0
40,1000,果园北道36号,0
45,1400,和睦西道11号,0
63,1100,先锋路,0
50,1500,"佳宁道,近辰昌路",0
41,1200,果园北道36号,0
146,9500,海河东路518号,1
53.87,1200,京津路1号,0
59,1450,京津公路252号,0
35,1600,泰昌路21号,0
44,2800,西马路,4
61,1800,果园北道36号,0
80.48,1000,中昌北大道189号,0
65.12,1500,建设路,0
39,2100,雅安道156号,4
42,1300,烟台道438号,0
97,1700,"景丽路,近华盛道",0
42,800,京津公路,0
48.22,1400,"凤凰路,近鲁山道",0
39,800,"迎新街,近育才路",0
95,2500,瑞雪路,4
41,1500,泰昌路21号,0
47.31,2500,北城街,4
53,1400,广州道,0
81.7,1300,津沽路42号,0
59,1000,"新兴北道,近康复路",0
70,1350,"团结路,近强国道",0
89,1800,"远洋城道,近新胡路",0
80,2000,银河五路,0
80,1200,南付营路,0
36,1600,盈江路79号,0
32,1000,胜利街598号,0
41,1200,陵水道4号,0
174,12000,赤峰道8号,1
50,1600,爱贤道,0
95,1250,前进道,0
30,1800,广东路366号,0
32.2,1800,洪湖北路14号,0
60,1700,"三水道,近梅林路",0
35,2000,"古海道,近南北大街",0
92,2600,香霞路,4
58.89,2600,福安大街168号,4
30,800,胜利街571号,0
118,3800,华龙道35号,3
46,1600,"安顺道,近中心北路",0
30,1900,芜湖道,0
49,1300,"闸南路,近天津大道",0
60.58,1400,"辰兴路,近南仓道",0
46,700,牌坊街,0
67,1800,辽河南道5号,0
78,1600,"景丽路,近华盛道",0
96,2100,祥云路,4
21.89,1500,琼州道117号,0
92,700,"永进道,近民安路",0
43,1700,红旗南路,0
45.14,1800,津塘路,0
68.67,1500,红塔寺大道,0
53,1850,大直沽西路1号,0
24.93,1700,成都道94号,0
40,750,胜利街598号,0
34.02,1400,集园道,0
52,1250,"丁字沽零号路,近向东道",0
52,800,"马西路,近光明大道",0
83,700,"南关大街,近南环路",0
45,1300,"中山门四号路,近广宁路",0
94.13,1550,景荷道,0
40,1650,临水道,0
78,650,"南关大街,近南环路",0
38.79,2100,保山道,4
57.19,3700,河南路9号,4
56.01,2000,佳宁中道26号,0
60.71,1500,"栖霞道,近招远路",0
37.99,1400,芥园道,0
60.17,2900,前进道21号,4
101.45,2600,"姚江东路,近淮河南道",4
120,1900,金钟街,0
59.95,1700,辰水道1号,0
41.69,1800,堤南道,0
18.82,1300,蒙古路,0
60,1500,咸阳北路,0
78.5,1400,顺畅路104号,0
25,500,"团结路,近强国道",0
30,1400,津涞道,0
35,1300,梨双路,0
51.2,2400,"赵家场大街,近南运河北路",4
62,3300,南大道244号,4
61.22,1550,福州道,0
178,14000,"吴家窑二号路,近成都道",1
121,6200,大丰路10号,3
59.82,2600,狮子林大街91号,4
90,3600,"昌凌路,近绥江道",4
100,2800,海河东路76号,4
73,1600,顺义道18号,0
83,1000,潮阳大道,0
90,4500,"春雨路,近芥园道",3
61,1000,无暇街,0
98.64,1600,泰来西道,0
63.99,1200,金钟河道,0
37,1200,"徐州道,近车站北路",0
52,1550,大连道,0
25,1900,拉萨道4号,0
65,1000,中南二街,0
87,2600,月牙河南路35号,4
88,800,国泰路,0
30,1200,胜利街571号,0
35,1200,海泰南北大街,0
92.78,1600,情景大道,0
105.6,5000,东马路60号,3
51,1700,"领世一大道,近领世环路",0
100,1156,清泉路,0
58,1533,"佳宁道,近辰昌路",0
107,8200,"吴家窑二号路,近成都道",3
41,1400,杭州道8号,0
63,850,三纬路,0
100,4400,宾水西道,3
51.65,4600,东马路131号,3
125,1700,丰乐路11号,0
77,2300,津滨大道,4
30,1100,"鑫怡路,近建明道",0
116.97,1600,泰和路,0
64,1500,凌宾路7号,0
45,1300,津塘公路,0
30,1300,大沽南路1009号,0
60.96,5200,滨江道221号,3
28,1200,七经路,0
48,2000,楚雄道85号,0
58,1300,泽恩路,0
93,800,北城东路147号,0
108,4900,洞庭路8号,3
67.45,1700,杭州道8号,0
92.51,2400,中山北路130号,4
60,2250,"宾水道,近环湖东路",4
59,1850,咸阳路,0
30,1100,津滨线,0
42,2000,"湖影道,近玉泉路",0
52.17,2100,铃铛阁街,4
53,1555,日纬路80号,0
40,1150,"景茗道,近微山南路",0
89,1300,银河大道,0
132,2600,镜泊湖路690号,4
65,1400,吉庆道,0
56,1300,"天津大道,近德胜路",0
56,2600,紫金山路,4
67.82,1400,顺畅路16号,0
144,4300,华苑路,3
42.34,1600,海洋道6号,0
49.65,1500,顺义道18号,0
36,2500,昆明路46号,4
85,1500,万象路,0
130,1400,205国道,0
197,6000,万科花园路,3
80,4300,围堤道,3
137.63,5400,华捷道60号,3
30.82,2400,卫津南路37号,4
114,2500,世纪大道,4
84,2000,大明道,0
75,900,津同公路151号,0
125,5000,枫林路,3
34,1545,汾水道59号,0
49,2100,"华宁道,近盈江路",4
40,900,友谊南路,0
64,1300,中心北路,0
82.99,1500,北辰西道,0
36,1600,盈江路79号,0
35,999,友谊南路,0
40,1600,河北路3,0
57.57,3500,南京路125号,4
34.67,2000,黄河道,0
260,17500,"吴家窑二号路,近成都道",1
62,600,"港南二路,近光明大道",0
46,2600,"宾水西道,近凌宾路",4
57.26,1300,"徐州道,近车站北路",0
72,1800,民盛道,0
48.04,1600,泾水道,0
84,1133,"天和路,近于庄路",0
59,2600,卫津路139号,4
114,1800,前进道,0
58,2900,卫津路46号,4
19,1299,凤山道,0
72.14,1900,上江路,0
44,1800,中心大道66号,0
50.1,1300,中学西路,0
60,2500,津港路,4
100,1700,迎宾大街,0
80,2300,文苑路,4
55.07,1100,果园北道36号,0
83,1600,欣展道,0
110,5000,"海河东路,近黑牛城道",3
96,3600,"迎水道,近简阳路",4
55,1100,"苑家楼路,近建设路",0
80,1600,塘汉路789号,0
90,2900,"汾河道,近姚江东路",4
65,4500,大沽南路,3
63.11,1900,南仓道,0
80.29,2000,海晨道,0
55,1700,泰佳道27号,0
89,2000,欣园道,0
84,1700,欣展道,0
89,1800,嘉泰路,0
120,4000,琳科西路,3
95.13,4500,宾水西道,3
52.66,1500,睿思道,0
29,1250,五经路16号,0
62,2600,八纬路113,4
64,2700,迎水道,4
63,1800,东环路,0
76.21,4500,北城街1471号,3
49,2400,南泥湾路4号,4
57,1100,"滨河道,近翠亨路",0
65,1000,南大街,0
98,2700,津滨大道,4
63.83,2200,曲江路,4
89,2500,"雅馨路,近吉明路",4
24.91,1500,邵公庄横街3号,0
9,1000,复康路,0
146,3200,福建北路321号,4
93,5000,"洞庭路,近昆仑路",3
57,2700,琳科西路,4
76.44,1700,沈阳道298号,0
33.99,2500,旧津保路,4
55.08,1700,"海源道,近团结路",0
140,3200,景盛路,4
78,4500,南京路,3
78.88,1500,"欣发道,近嘉顺路",0
62,1400,新致道,0
26,1500,淦江路,0
106,3100,曲江路,4
86,1000,津岐路,0
40,900,杨六公路,0
89,1100,剧场西路,0
65.92,1700,"民盛道,近泽润路",0
60,1500,京津公路,0
46.28,2600,环湖中南道4号,4
80,1600,芦北路,0
83,600,建设路,0
35,2000,泰昌路21号,0
63,1500,东环路479号,0
40.96,2200,西马路,4
80,900,杨六路,0
79.18,1500,"雍阳西道,近翠源路",0
46,1200,龙顺道162号,0
85,1600,欣滨道,0
75,1500,泽润路,0
42,3500,南京路239号,4
40.12,1400,密云路4号,0
50,2500,|沈阳道曲阳胡同,4
64,1600,鸿信路,0
93.07,2600,跃进路,4
74,1100,环湖东路,0
40.3,1000,解放路668号,0
39.87,2100,北长路66号,4
77.98,1800,养鱼池路37号,0
92.22,2300,新明路,4
38,2000,二纬路,0
93,1100,361省道,0
50,2800,"华宁道,近盈江路",4
35,2300,"纪庄子北道,近紫金山西路",4
22,1500,建国道92号,0
42,2000,红旗南路,0
32,2000,围堤道,0
66.55,4000,新疆路2号,3
54.2,2600,贵阳路13号,4
50,1600,卫国道115号,0
100,5000,南京路39号,3
55,1900,春风路,0
86,1400,顺畅路104号,0
64,2900,淦江路1号,4
101.2,2500,"团结环路,近江源东道",4
41,2000,越秀路15号,0
77.9,2600,艳阳路,4
385.58,40000,荣业大街76号,2
106,3800,江湾路102号,3
41.86,1200,果园北道36号,0
109,5100,大丰路10号,3
101.74,5500,宾水西道,3
42.09,1700,密云路53号增8号,0
26,2300,拉萨道4号,4
38,1009,万卉路,0
180,5000,海河东路76号,3
30,1100,津滨大道,0
32,1099,昌图道,0
114.53,4100,"中北大道,近星光路",3
132,1600,津塘公路,0
63,1350,嘉定西路,0
90.23,6800,东马路131号,3
68,1300,西青道,0
45,1400,楚雄西道,0
30,2100,红旗南路,4
90,4500,福建路84号,3
69.36,1600,果园北道3号,0
53.39,1400,福东路2号,0
40,1200,安顺道,0
30,1200,"辰昌路,近龙泉道",0
48.78,2000,"农裕大街,近复康路",0
40,1250,"柳杨道,近青宝路",0
36,1800,柳江路6增1号,0
25,2000,拉萨道4号,0
126.43,4400,卫国道,3
33.16,1200,果园北道,0
65,1700,梅州道910号,0
41,1200,上海道2839号,0
131,5300,光荣道185号,3
77.28,2000,新明路,0
65,2065,跃进路,0
65,2020,跃进路,0
83.37,3500,津京公路,4
50,2300,"宾水西道,近凌宾路",4
57,2800,钢厂路,4
80,2400,枣林大道,4
53.1,1600,"古北道,近雁门路",0
76,2000,中北大道,0
40,1200,杭州道,0
90.97,2400,天河东路,4
90,1500,雅兰道,0
105,3600,"东八道,近航海道",4
87,2700,春阳路681号,4
120,2300,海泰南北大街,4
66,2600,南泥湾路4号,4
64.43,2000,红旗南路580号,0
89,2000,欣园道,0
118,3600,"凤展道,近卫津南路",4
91.16,1800,"天池路,近梅州道",0
85,2300,景荷道,4
85,2300,"中北大道,近星光路",4
90,1300,林海路,0
57,2600,南泥湾路4号,4
96,4800,宾水西道,3
30,1000,光荣道,0
138,2500,尚德路,4
76.28,2800,靖江路,4
76,4000,北城街1471号,3
103,2400,赤海路,4
45,2600,台儿庄路,4
88.86,2600,东海路,4
63,1900,东环路,0
89,2800,宜白路,4
90,1800,205国道,0
110,3500,仁爱大道,4
47,1000,胜利街240号,0
53.09,1500,大沽南路1068号,0
43,900,友谊南路,0
62,1200,果园北道3号,0
133.75,4200,万德庄大街148号,3
76.41,3800,开封道2号,3
108.68,3000,中山路88号,4
37.3,2000,红旗南路,0
64,1300,"团结路,近强国道",0
93.8,1000,东环路,0
56,1200,胜利街240号,0
93,3500,"华苑路,近锦环道",4
90,1800,"泉发路,近振华西道",0
76.09,2600,"日月路,近南运河南路",4
132,8500,六纬路238号,1
94.6,2200,瑞景西道5号,4
42.42,1400,"栖霞道,近招远路",0
34.11,2150,二马路,4
70,1900,咸阳北路,0
145,2400,赛达大道,4
120.72,2700,"二纬路,近二经路",4
80,900,宝平公路,0
170,1999,天嘉湖大道,0
27,1800,"泗水道,近微山路",0
83,2800,曲江路33号,4
109,900,天嘉湖大道,0
40,1200,微山路38号,0
58.87,2000,"万卉路,近御河道",0
66,4000,卫国道,3
62.83,1250,果园北道36号,0
106,3800,"日月路,近南运河南路",3
41.81,1400,招远路2号,0
59,1300,京津公路252号,0
60,800,军粮城大街,0
40,1400,宜白路,0
70,1300,北仓道,0
40.2,1800,双峰道,0
32,1300,"拜泉道,近虎林路",0
63,1300,"紫江路,近南华路",0
110,2000,新华道,0
72.6,1300,兴盛道,0
77,1000,津歧公路,0
53.49,2000,淦江路,0
70,2100,增产道151号,4
53.87,1500,"辰兴路,近南仓道",0
80,2200,顺达路,4
69.82,1300,"红旗路,近津沽大街",0
60,2300,"环湖南道,近环湖中路",4
30,1300,"红塔寺大道,近桃花堤西道",0
55,2400,淦江路,4
96.17,2600,秀丽南道2号,4
80,1350,京津公路,0
100,1800,北仓道,0
64,1800,岷江路10号,0
59.74,1500,"招远路,近栖霞道",0
33.86,2000,南开二马路187号,0
81,1000,人民西路,0
82.6,2200,瑞景西道5号,4
85,2900,友谊路,4
42.48,1600,小革新道19,0
63,1300,"团结路,近强国道",0
109.89,3500,新开路136号,4
44,900,"东环路,近迎宾大街",0
85,2000,四里沽路,0
39,2100,"宾水西道,近凌宾路",4
54,2450,"宾水西道,近凌宾路",4
104,7000,洞庭路92号,3
123,3000,"中津大道,近中天大道",4
83,2000,"常海道,近北华北路",0
89.39,2400,"云山道,近靖海路",4
53.32,1500,营雅路,0
54,2500,"宾水西道,近凌宾路",4
82,2500,宜白路,4
93,2000,"名盛道,近华庭路",0
124,2500,新安路,4
85,2260,跃进路,4
100,4000,龙涵道382号,3
67,1699,华山道,0
86,1500,欣滨道,0
60,2150,陵水道,4
65,1600,石油新村路,0
70,2100,津港公路,4
84,2700,"东六道,近兴宇路",4
84,3000,幸福街,4
76.78,2500,"海泰大道,近华科大街",4
96,2300,东环路,4
80.58,3000,"月牙河北路,近津塘路",4
76,2500,浯水道,4
41.32,900,友谊南路,0
114.17,6800,东马路131号,3
127,3000,"北华路,近东昌道",4
78,2600,"才智道,近学府中路",4
116,4000,海泰南北大街,3
97,2800,浯水道95号,4
59.02,1800,先锋路,0
76,2400,"海泰大道,近华科大街",4
78,2300,新港三号路,4
63,3000,"宾水西道,近凌宾路",4
90,1200,五经路,0
60,2700,南京路125号,4
41,1200,翠亨路,0
76,1500,京津路1号,0
35,1600,中北大道,0
86.9,3200,诗景路,4
28,1650,五经路16号,0
51.51,2300,南京路125号,4
57,2000,"新港三号路,近港医路",0
90,1200,一经路,0
50,3600,绍兴道1号,4
110,2100,317省道,4
40,1700,月牙河南路35号,0
51.59,1900,"旌智道,近新英路",0
80,2600,津涞道,4
41,1300,京福公路,0
86,1300,四里沽路,0
63,1600,嘉定西路,0
30,1300,程春路,0
43,1500,安顺道,0
92,1100,环城南路,0
51.59,1800,"旌智道,近新英路",0
91,1400,205国道,0
90,2100,付村路,4
30,1650,星光路,0
54,2300,芥园西道,4
32.27,1300,津塘路187号,0
73,1600,欣永路,0
45,1450,苏州路,0
39.69,1200,果园北道36号,0
54,3450,"天塔道,近卫津南路",4
62,1600,"渌水道,近桐林路",0
100,2000,新平道,0
89,600,津围公路,0
50,2000,鞍山西道,0
135,4800,万德庄南北街,3
39.14,1780,"宾水道,近沿河路",0
47,1400,外环西路,0
63,950,霞光路,0
33.32,3000,昆明路5号,4
38.82,2150,南开二纬路,4
49,1300,华盛道65号,0
74,1600,东盐路,0
70,1500,向阳街,0
62.45,1000,人民西路,0
67.35,1300,泽恩路,0
12.2,1350,复康路,0
63.89,1600,南仓道,0
48.75,800,"东风南路,近人民街",0
52.29,1500,育红路7号,0
85,1500,汇川路,0
87,3500,江湾路102号,4
49.75,1000,银河大道1号,0
51.64,2100,"新开路,近华龙道",4
30,1700,大沽南路670号,0
57,2600,鞍山西道307号,4
53.56,1800,"泗水道,近学苑路",0
21.9,1300,先锋路,0
39,1100,安达路,0
80,1600,港兴道,0
110,1700,金华路,0
38.54,1760,"宾水西道,近凌宾路",0
80.51,2600,"广秀路,近津涞公路",4
90,1700,赛达大道,0
135,2400,324省道,4
90,2500,"星光路,近卉安道",4
85,2000,"津涞公路,近工一号路",0
88,2000,"尧山道,近威海路",0
93,3400,"东六道,近兴宇路",4
100,2200,中天大道2377号,4
55,2400,密云一支路,4
74,2100,汪庄村中街,4
128,2800,滨河道,4
54,2100,常州道17号,4
85,5000,迎水道100号,3
64.66,1600,河北西路1116号,0
93,1600,无终园大街,0
92,1500,渠阳大街1号,0
30,1200,"才智道,近学府中路",0
71.3,3000,"宾水西道,近凌宾路",4
78,3100,海泰南北大街,4
30,1300,"才智道,近学府中路",0
57.26,2100,津京公路,4
69.59,3000,琳科西路,4
68,2620,南泥湾路4号,4
95,2800,京华道,4
57,2600,"外环西路,近红旗南路",4
60,1300,香林路,0
85,1700,"朝阳路,近绿荫西路",0
84,2000,镜泊湖路690号,0
92,3000,富民路甲2号,4
85,2500,"观湖路,近东六道",4
65,3000,钢厂路,4
104,2300,新科道,4
70,2000,津港公路,0
71,2600,华龙道,4
50,2400,黑牛城道,4
75,1200,210省道,0
72,1900,雅安道97号,0
32.18,2200,兴安路22号,4
52,1500,建国大街131号,0
114,4500,江湾路,3
85,2300,"津涞公路,近工一号路",4
68.64,1800,荣盛路,0
90,1100,汉水路,0
93,2600,海景大道,4
96.28,1500,四清新村新路,0
75,1600,京津公路252号,0
90,1500,三八河路,0
85.58,3200,"月牙河北路,近津塘路",4
89.05,2600,惠山道,4
46,2500,"红旗南路,近简阳路",4
110.28,5800,宾水西道,3
53,1500,辽河南道,0
60,1900,"泗水道,近梅林路",0
239,10000,宾水西道,1
87,2100,储祥道,4
40,1600,新津一支路,0
50,2000,密云一支路,0
55,1300,芦北路,0
78,2000,芦北路,0
78,1250,"团结路,近强国道",0
50,1500,"天和道,近高峰南路",0
70,1700,"杭州道,近河北路",0
53.41,1800,"新桂路,近旌智路",0
35,2300,常德道56号,4
37,1300,"杭州道,近玉津街",0
72,1700,万东路20号,0
30.85,1700,"芥园西道,近立新路",0
40,1600,辰水道1号,0
100,1500,翠亨路,0
49.3,2100,"华宁道,近盈江路",4
115,3500,红旗南路532号,4
58.89,3300,福安大街168号,4
88,1500,欣滨道,0
84,1350,小淀路,0
40,1700,双水道,0
55,2300,黑牛城道,4
90,1400,"州河湾西街,近青池西街",0
25,1400,卫国道157号,0
90,1200,同安道,0
102,4000,"昌凌路,近淄环路",3
58,3600,郁江道37号,4
220,13500,"吴家窑二号路,近成都道",1
42.3,1800,辰水道1号,0
35,2200,永安道195号,4
57.99,1500,菜市场路,0
90,1000,南关大街,0
118.94,2100,开发道,4
40,1100,解放路668号,0
63.07,2000,北城街,0
95,3800,环岛西路,3
75,1500,望达街198号,0
40.16,2100,园荫道24号,4
51,3300,大连道2号,4
95,1300,潮阳大道,0
30,1300,景荷道,0
62.76,2800,冶金路20号,4
73,3500,"芥园道,近复兴路",4
37.23,1300,红旗路,0
167,3300,东八道,4
40.32,1600,临水道,0
108.53,5400,"西马路,近鼓楼西街",3
74,1800,"学苑路,近泗水道",0
70,1500,赛达大道,0
92,2500,浯水道,4
67,1050,东环路,0
45,900,乾元道2号,0
64,1600,鸿信路,0
58,1700,红星路,0
93,1500,营建路,0
91.67,2500,津围公路,4
72,2000,招远路2号,0
88.96,2000,"同声路,近月牙河西路",0
40,1100,解放路,0
40,1900,中山路,0
65,1600,京华道,0
46,1700,东江道11号,0
86.61,1400,顺境路,0
38,1900,红旗南路,0
40,2000,大沽南路462号,0
60,1500,复康路,0
49,850,环湖东路,0
51,1200,朝阳路,0
66,1850,直沽街,0
88.85,2300,"祁连路,近彩丽环路",4
31.72,1100,集园道,0
90,1800,津涞公路,0
69.42,4100,六纬路91号,3
40,2490,礼貌大街26号,4
59.62,2000,保山道,0
35,1650,"泗水道,近微山路",0
47,1750,泰昌路21号,0
89,1000,一纬路44号,0
30,1400,卫国道157号,0
55,2600,津滨大道,4
72,850,建设路,0
44.33,1400,"辰兴路,近南仓道",0
30,1500,普济河东道,0
52,1800,金江路76号,0
35,1200,礼貌大街31号,0
39,2400,"环湖南道,近环湖中路",4
41.78,1700,弘贯道,0
93,1100,"潮阳大道,近开元路",0
69.36,1500,果园北道3号,0
116,1650,"坤元路,近界河路",0
80,1600,赛达大道,0
50.41,2200,成林路91,4
75.6,2500,红旗南路,4
40.69,1200,"姚江路,近辽河南道",0
70.53,1700,"雪莲南路,近茅山道",0
47,2300,福安大街168号,4
110,1550,丰泽道,0
67.88,3500,城厢东路56号,4
56.28,3200,城厢东路56号,4
93,1800,庄园南道91号,0
60,1100,任环路,0
48,2200,万德庄大街137号,4
42,850,京津公路,0
53,1700,团结路9号,0
30,2000,迎水道,0
42,2300,万峰路29号,4
50,2500,气象台路5号,4
52.17,2700,城厢东路56号,4
54,3800,郁江道37号,3
49.35,1600,"千山道,近雪山南路",0
102.78,2500,第四大街95号,4
41,1300,果园北道36号,0
76.69,5200,贵阳路79号,3
41,1500,广州道,0
89,3500,复康路,4
