价格,区
1000,西青
1700,河东
1300,北辰
1250,东丽
3700,和平
2700,南开
2300,东丽
1900,北辰
17000,和平
1700,河东
1500,北辰
2600,北辰
1900,河北
6000,南开
1300,北辰
2000,塘沽
1550,河东
4200,和平
1000,河东
2600,河东
2300,和平
1200,津南
8000,和平
1900,红桥
1400,东丽
1000,塘沽
1200,南开
2100,南开
5000,河东
1300,津南
2200,河东
1800,塘沽
1400,河东
1900,南开
830,北辰
1500,武清
2500,西青
3000,河东
2200,东丽
2550,塘沽
1600,西青
1300,武清
2800,西青
2300,南开
2000,河西
1800,西青
1550,西青
1700,西青
1800,武清
1600,西青
3000,塘沽
6300,和平
1600,武清
3800,河东
2000,津南
4900,南开
1800,蓟州
1500,大港
2600,西青
5200,南开
5200,南开
2200,武清
1800,津南
3200,西青
1413,武清
1500,西青
1700,河北
2500,河北
1750,西青
1700,河北
1500,北辰
11000,南开
1500,北辰
1550,河东
1300,红桥
1500,北辰
2600,和平
1300,西青
3500,南开
2300,河东
1200,津南
2000,南开
2200,和平
1800,南开
1200,西青
1750,北辰
2400,河西
2400,和平
2300,南开
1100,津南
1200,静海
1600,津南
2700,南开
3300,红桥
1300,北辰
1000,宝坻
2400,南开
1700,西青
2300,塘沽
3600,东丽
1200,塘沽
1800,开发区
2100,和平
3000,河东
1200,宝坻
4000,南开
1400,宝坻
2250,南开
2500,河西
2800,北辰
1500,武清
2600,和平
2500,塘沽
1800,北辰
2800,河东
1500,大港
5000,开发区
1400,西青
3000,河东
4300,南开
3500,西青
3900,河西
2500,滨海新区
3000,河东
3600,河西
1500,津南
1200,津南
2400,东丽
1600,河东
1100,西青
2500,河东
1100,静海
2500,河西
1500,塘沽
1200,宝坻
2600,南开
1550,东丽
1900,北辰
1500,塘沽
999,宁河
1400,大港
6500,和平
1700,河西
998,西青
3500,河东
6500,河西
1100,宝坻
1100,西青
1500,红桥
1300,河西
2600,河西
6300,和平
2800,南开
1400,西青
2200,红桥
1600,北辰
1500,河西
2300,津南
1700,河北
1100,西青
1800,北辰
1400,津南
2000,河西
2400,红桥
1350,红桥
1800,东丽
3600,河东
1850,北辰
900,蓟州
1000,东丽
2000,河西
4000,红桥
2490,河北
2200,北辰
3000,南开
3500,河东
1800,塘沽
9999,和平
2500,滨海新区
2300,南开
1900,西青
1400,宝坻
2400,东丽
1200,津南
3100,南开
1500,津南
1500,北辰
2300,塘沽
1600,北辰
1250,武清
3400,河西
9000,塘沽
3100,红桥
3200,西青
1500,津南
1300,河北
1900,北辰
2600,南开
5000,武清
1500,红桥
1600,河东
1350,西青
2400,南开
1800,开发区
1500,武清
3300,河西
2300,北辰
2900,和平
1700,南开
900,北辰
1750,东丽
2800,南开
2900,河东
1700,北辰
1600,北辰
2300,塘沽
2000,河东
760,红桥
1700,滨海新区
1500,津南
1300,津南
2200,东丽
1500,北辰
1200,北辰
6000,河西
1500,塘沽
4200,河东
3000,和平
950,河东
1200,北辰
750,津南
700,东丽
700,东丽
2000,河东
1700,河东
3500,河西
2800,和平
2300,河西
3000,河西
3200,河东
1500,河东
800,武清
2400,南开
1900,东丽
2000,东丽
1800,河西
3500,河西
1200,北辰
1100,河东
4200,南开
800,宝坻
1600,东丽
1500,武清
1300,河东
1200,津南
1000,宝坻
1650,南开
2800,河北
900,武清
2300,西青
1300,北辰
1600,河西
1200,塘沽
1700,塘沽
850,武清
1500,津南
1800,河东
1900,南开
900,武清
1700,东丽
1200,西青
1550,河西
1100,宁河
1800,东丽
1500,塘沽
1000,津南
2800,南开
1400,北辰
2000,西青
1900,东丽
1500,红桥
10500,和平
3000,河西
1500,武清
1400,西青
4500,武清
3000,南开
2000,津南
1600,蓟州
1900,塘沽
1700,武清
2650,南开
2500,河西
3200,南开
3100,河西
1500,西青
1375,西青
1600,北辰
2600,西青
1700,北辰
2100,南开
1150,南开
1300,西青
1300,北辰
3000,南开
1600,塘沽
1500,静海
2600,河东
1200,西青
10000,塘沽
1400,北辰
4500,河东
1700,西青
2000,北辰
1300,北辰
2800,河东
3590,东丽
2800,东丽
1200,北辰
4500,滨海新区
2800,西青
2500,塘沽
1850,河东
2500,滨海新区
1200,塘沽
2800,河北
2100,北辰
2000,塘沽
1800,塘沽
2800,河西
1600,宝坻
2500,静海
2600,南开
2500,西青
1800,塘沽
2800,西青
1600,河东
2900,西青
1300,北辰
1100,武清
3600,和平
1500,西青
2600,南开
1600,武清
800,开发区
5500,南开
1900,河北
2500,北辰
2600,北辰
1500,塘沽
3500,和平
3700,南开
1650,塘沽
750,东丽
2400,南开
2800,和平
1350,北辰
2500,南开
3400,河东
3000,和平
5700,河西
2800,南开
2800,河东
1500,津南
1200,北辰
1600,北辰
1300,武清
1500,塘沽
3800,西青
5000,和平
1400,塘沽
2800,北辰
2700,北辰
1200,北辰
2800,河北
2100,北辰
2500,河北
1600,南开
2000,塘沽
2190,开发区
2000,北辰
1400,河东
1700,东丽
1200,西青
1450,南开
2800,南开
2200,大港
2880,红桥
3800,河东
3200,南开
2000,西青
1600,北辰
5000,和平
2500,西青
2300,南开
1375,塘沽
1700,东丽
6000,和平
2300,北辰
1600,东丽
1800,东丽
3200,津南
1800,塘沽
2700,南开
4700,河东
2000,北辰
1500,塘沽
2500,东丽
1600,津南
1700,武清
1400,东丽
2400,河东
2000,南开
2300,河东
1600,西青
1700,河西
1300,静海
900,蓟州
1500,南开
1166,东丽
1800,河西
1400,红桥
1800,北辰
1000,宁河
1900,西青
900,大港
2500,河西
1400,宝坻
1200,北辰
2000,塘沽
1900,河西
1550,西青
1500,红桥
1500,河西
2900,南开
1200,塘沽
1800,津南
1600,大港
1700,西青
1700,南开
2550,河西
1000,河北
1100,津南
1000,东丽
3100,和平
1300,塘沽
2000,津南
1600,塘沽
1200,西青
1700,塘沽
980,红桥
1700,西青
1200,塘沽
600,河东
1500,北辰
500,武清
1600,津南
1200,东丽
1000,河东
1000,东丽
1500,滨海新区
1200,西青
1700,西青
1800,南开
2200,西青
2300,西青
1500,西青
580,武清
950,南开
1600,红桥
1200,西青
2600,塘沽
1100,塘沽
1800,河西
3200,红桥
1000,河东
1100,红桥
901,河西
900,西青
1800,河东
1100,津南
2500,津南
1500,河东
1300,北辰
1650,西青
3200,河西
2200,武清
1700,南开
1700,西青
2100,北辰
1100,北辰
1700,南开
4000,西青
3528,南开
4000,南开
1700,塘沽
1100,武清
1200,西青
4500,和平
2700,河西
5000,西青
1200,宝坻
12000,和平
1100,武清
4400,河西
1300,西青
2200,北辰
18000,河东
3500,南开
1300,北辰
2000,武清
1200,北辰
1600,河西
1400,河西
1200,津南
1800,河东
4300,和平
1550,河西
2060,南开
1700,北辰
1800,河东
1400,河东
750,汉沽
700,宝坻
2200,河西
1400,河北
1900,河北
1600,南开
650,汉沽
2600,南开
2200,河东
1600,东丽
1400,河东
1900,南开
1000,东丽
3500,河东
2500,北辰
3800,北辰
750,武清
3000,河东
1700,河北
1700,河北
1300,河东
7500,北辰
1300,红桥
1300,北辰
1600,红桥
1400,北辰
1800,河东
2200,河东
2000,东丽
1500,南开
2400,河东
2400,南开
5200,红桥
3800,西青
2600,南开
2800,河西
1200,蓟州
2400,南开
2500,南开
1300,河西
1600,西青
2600,河西
1200,大港
2000,塘沽
1550,北辰
1200,西青
1800,河东
3300,滨海新区
4500,南开
2000,河东
8000,南开
1700,塘沽
2000,西青
1000,东丽
2200,北辰
2300,西青
3000,河东
1300,武清
4000,南开
2900,和平
2500,和平
800,武清
3600,开发区
1600,东丽
1600,津南
2000,河北
1160,东丽
8900,河西
1950,河北
1600,河西
2200,河北
2000,南开
1300,西青
3600,津南
1600,宝坻
2900,北辰
2000,南开
600,武清
1600,南开
1600,西青
2500,南开
3100,南开
2500,南开
2500,河西
5500,河西
2600,北辰
1700,河北
1000,宝坻
2500,南开
3300,和平
1800,塘沽
2500,和平
3200,河北
1600,河东
1300,静海
1400,北辰
1100,静海
3600,河东
1200,大港
2300,南开
2200,东丽
1400,西青
1800,南开
2111,河北
900,武清
1500,河西
1570,东丽
2800,南开
1500,北辰
900,武清
1800,东丽
1400,西青
1150,津南
1500,津南
1400,河北
1300,塘沽
1100,汉沽
4500,津南
3000,河东
1400,津南
7000,南开
3520,南开
1700,红桥
1800,西青
1300,西青
1900,东丽
3600,河西
1550,西青
2200,河北
2000,西青
2800,东丽
1500,塘沽
1300,北辰
2500,北辰
1200,西青
2600,河西
1600,塘沽
1800,东丽
1300,北辰
2300,北辰
2600,河北
2500,北辰
3600,南开
4900,和平
2500,河东
4500,和平
1500,北辰
1200,北辰
1900,北辰
1300,北辰
1400,北辰
4200,河东
1200,北辰
2000,塘沽
2300,和平
2500,塘沽
3200,北辰
1850,北辰
2000,东丽
2300,塘沽
1550,河北
2300,北辰
1600,南开
3800,南开
1100,北辰
4200,南开
2150,塘沽
1100,西青
1300,西青
1500,西青
2200,南开
4300,河西
2700,南开
2550,南开
2800,塘沽
1100,北辰
1800,西青
1900,河北
1800,东丽
2500,红桥
3300,河北
1700,津南
1800,塘沽
1700,东丽
1600,东丽
1450,河东
2600,南开
1500,津南
1250,西青
2150,南开
2300,南开
1600,塘沽
1300,津南
1500,河西
1300,塘沽
2900,西青
2400,河西
2400,河西
3600,河东
1700,西青
1800,北辰
1400,塘沽
1550,河东
1500,河北
2800,北辰
3800,红桥
3800,河西
1650,北辰
2000,北辰
900,北辰
2000,南开
1400,津南
2600,南开
900,静海
1700,和平
1800,北辰
2200,东丽
12000,南开
1500,西青
4000,河西
1600,河北
2100,滨海新区
1500,北辰
2400,津南
1300,北辰
2300,南开
2100,河西
2000,河西
1000,津南
1600,静海
5500,河东
1100,西青
4000,津南
2000,南开
1600,南开
550,宝坻
1200,北辰
2100,南开
1500,河北
600,武清
1400,塘沽
1600,河西
780,汉沽
1000,北辰
1450,河北
1450,河东
2000,红桥
1500,北辰
850,武清
750,武清
2000,北辰
1100,北辰
700,大港
2200,南开
2800,河北
1600,河北
900,北辰
1500,北辰
800,宝坻
1750,河北
1800,西青
900,北辰
1500,河西
1100,塘沽
1700,北辰
1100,北辰
900,西青
1350,河西
1000,津南
1700,河西
1400,河东
1208,西青
1300,西青
1800,南开
5200,和平
1800,河西
1900,南开
3000,南开
4700,南开
2300,河东
1800,河西
2000,静海
1800,红桥
2600,南开
1200,大港
2800,西青
1669,河北
1300,西青
1350,河西
1400,河东
6400,河东
1500,塘沽
2000,南开
1100,大港
2600,河西
2600,河西
1700,津南
900,武清
2000,河东
3300,开发区
1900,南开
600,宝坻
3800,和平
1350,西青
1400,北辰
1700,红桥
1300,北辰
1600,南开
1698,河北
1600,西青
1500,东丽
3200,南开
900,西青
1500,南开
1800,红桥
1200,河东
2300,南开
1700,津南
1600,河北
1700,河西
1600,红桥
800,大港
900,西青
1400,津南
1600,红桥
900,津南
1400,北辰
1500,河西
4500,南开
2000,北辰
750,津南
1550,南开
1300,塘沽
3800,和平
2000,西青
850,津南
1300,北辰
1400,塘沽
1800,河西
1400,东丽
1300,西青
1650,河西
900,武清
2500,南开
1300,北辰
1900,河西
2000,南开
3300,河西
2100,南开
1400,塘沽
2880,南开
1500,河西
1700,北辰
2900,河东
1800,津南
1300,武清
1000,津南
1400,西青
1200,武清
950,东丽
1800,南开
5500,南开
2000,静海
2500,津南
1600,北辰
1600,西青
1100,河北
2500,西青
2400,河西
1700,南开
1100,北辰
5100,西青
700,宝坻
3200,南开
3700,和平
1700,南开
1500,河西
2100,北辰
4800,河西
3650,南开
1400,东丽
2900,东丽
1700,塘沽
1200,西青
2100,河西
2300,河西
1200,蓟州
1500,武清
1300,北辰
4700,南开
1750,红桥
3200,南开
14400,蓟州
2200,大港
1300,西青
1400,北辰
2100,南开
1600,河西
3000,和平
1100,北辰
1200,宁河
2800,和平
1250,河西
6200,和平
1400,塘沽
1400,北辰
1600,红桥
1900,南开
1100,大港
4200,和平
1800,河西
2700,河东
4166,宝坻
2600,南开
800,宝坻
4300,南开
1550,红桥
800,宝坻
1100,红桥
1400,红桥
1500,东丽
2900,南开
1300,武清
1500,和平
1300,河东
1800,武清
2500,河西
1700,红桥
1300,河东
1500,西青
1550,河北
2200,北辰
1200,北辰
2100,南开
3500,和平
2000,南开
2500,河北
2500,开发区
2500,河西
3200,南开
2800,河东
2500,西青
2000,西青
3600,南开
1900,南开
3300,西青
1400,宁河
1500,南开
2500,津南
2500,北辰
1500,河西
1800,西青
4500,河北
1224,武清
1600,塘沽
1900,红桥
2500,南开
2700,北辰
1400,北辰
1900,南开
1400,塘沽
1300,塘沽
3500,和平
1600,武清
1350,武清
4200,河东
2950,南开
1900,河西
1400,北辰
1500,东丽
2000,东丽
800,宝坻
550,宝坻
2300,南开
6300,河东
1900,河西
1200,北辰
550,宝坻
1200,静海
1800,滨海新区
1000,北辰
1400,河东
1100,大港
1500,红桥
1200,北辰
1900,北辰
9500,河东
1200,北辰
1450,北辰
1600,河东
2800,南开
1800,北辰
1000,蓟州
1500,大港
2100,南开
1300,塘沽
1700,北辰
800,武清
1400,河东
800,大港
2500,西青
1500,河东
2500,南开
1400,塘沽
1300,津南
1000,大港
1350,武清
1800,塘沽
1500,南开
2000,塘沽
1200,津南
1600,南开
1000,大港
1200,河西
12000,和平
1600,北辰
1250,武清
1800,河西
1800,红桥
1700,河西
2000,河西
2600,西青
2600,和平
800,大港
3800,河东
1600,塘沽
1900,河西
1300,塘沽
1400,红桥
700,汉沽
1800,北辰
1600,北辰
2100,西青
1500,河西
700,北辰
1700,南开
1800,东丽
1500,红桥
1850,河东
1700,和平
750,大港
1400,南开
1250,红桥
800,大港
700,宝坻
1300,河东
1550,津南
1650,红桥
650,宝坻
2100,南开
3700,和平
2000,红桥
1500,东丽
1400,红桥
2900,河西
2600,北辰
1900,东丽
1700,河西
1800,南开
1300,和平
1500,红桥
1400,北辰
500,武清
1400,西青
1300,西青
2400,红桥
3300,南开
1550,塘沽
14000,和平
6200,红桥
2600,河北
3600,西青
2800,河北
1600,北辰
1000,宝坻
4500,红桥
1000,东丽
1600,北辰
1200,东丽
1200,塘沽
1550,塘沽
1900,和平
1000,东丽
2600,河东
800,宝坻
1200,大港
1200,西青
1600,东丽
5000,南开
1700,津南
1156,武清
1533,红桥
8200,和平
1400,塘沽
850,汉沽
4400,南开
4600,南开
1700,津南
2300,东丽
1100,津南
1600,津南
1500,南开
1300,塘沽
1300,河西
5200,和平
1200,东丽
2000,南开
1300,西青
800,宝坻
4900,河西
1700,塘沽
2400,河北
2250,河西
1850,红桥
1100,东丽
2000,南开
2100,红桥
1555,河北
1150,津南
1300,东丽
2600,塘沽
1400,西青
1300,塘沽
2600,河西
1400,北辰
4300,南开
1600,南开
1500,北辰
2500,和平
1500,大港
1400,静海
6000,北辰
4300,河西
5400,河东
2400,河西
2500,大港
2000,西青
900,武清
5000,河西
1545,南开
2100,南开
900,西青
1300,塘沽
1500,北辰
1600,南开
999,西青
1600,塘沽
3500,和平
2000,南开
17500,和平
600,大港
2600,南开
1300,塘沽
1800,西青
1600,南开
1133,武清
2600,和平
1800,武清
2900,南开
1299,河东
1900,河北
1800,东丽
1300,北辰
2500,河西
1700,蓟州
2300,西青
1100,北辰
1600,塘沽
5000,河东
3600,南开
1100,宝坻
1600,塘沽
2900,北辰
4500,河西
1900,北辰
2000,滨海新区
1700,西青
2000,滨海新区
1700,塘沽
1800,滨海新区
4000,河东
4500,西青
1500,津南
1250,东丽
2600,河东
2700,南开
1800,西青
4500,南开
2400,南开
1100,武清
1000,东丽
2700,东丽
2200,河西
2500,津南
1500,红桥
1000,南开
3200,塘沽
5000,河西
2700,河东
1700,塘沽
2500,南开
1700,红桥
3200,津南
4500,南开
1500,塘沽
1400,北辰
5200,河东
1500,南开
3100,河西
1000,津南
900,武清
1100,津南
1700,西青
1500,北辰
2600,河西
1600,西青
600,宝坻
2000,河东
1500,大港
2200,南开
900,武清
1500,武清
1200,北辰
1600,塘沽
1500,西青
3500,和平
1400,南开
2500,和平
1600,西青
2600,东丽
1100,静海
1000,塘沽
2100,河东
1800,河北
2300,东丽
2000,南开
1100,宝坻
2800,南开
2300,河西
1500,河北
2000,南开
2000,河西
4000,和平
2600,和平
1600,河东
5000,河西
1900,塘沽
1400,北辰
2900,南开
2500,红桥
2000,河西
2600,南开
40000,和平
3800,西青
1200,北辰
5100,红桥
5500,南开
1700,南开
2300,和平
1009,西青
5000,河北
1100,东丽
1099,红桥
4100,西青
1600,塘沽
1350,北辰
6800,南开
1300,西青
1400,西青
2100,南开
4500,河西
1600,北辰
1400,河东
1200,塘沽
1200,北辰
2000,南开
1250,西青
1800,河西
2000,和平
4400,河东
1200,北辰
1700,塘沽
1200,塘沽
5300,红桥
2000,东丽
2065,开发区
2020,开发区
3500,北辰
2300,南开
2800,河东
2400,西青
1600,河北
2000,西青
1200,塘沽
2400,塘沽
1500,东丽
3600,东丽
2700,塘沽
2300,西青
2600,南开
2000,南开
2000,滨海新区
3600,西青
1800,塘沽
2300,津南
2300,西青
1300,宝坻
2600,南开
4800,南开
1000,北辰
2500,津南
2800,河东
4000,南开
2400,东丽
2600,河西
2600,开发区
1900,西青
2800,北辰
1800,宁河
3500,静海
1000,大港
1500,河西
900,西青
1200,北辰
4200,南开
3800,和平
3000,河北
2000,南开
1300,武清
1000,蓟州
1200,大港
3500,南开
1800,武清
2600,红桥
8500,河东
2200,北辰
1400,东丽
2150,南开
1900,红桥
2400,西青
2700,东丽
900,宝坻
1999,津南
1800,河西
2800,河西
900,津南
1200,河西
2000,西青
4000,河东
1250,北辰
3800,红桥
1400,东丽
1300,北辰
800,东丽
1400,河北
1300,北辰
1800,南开
1300,北辰
1300,津南
2000,宁河
1300,大港
1000,津南
2000,南开
2100,河北
1500,红桥
2200,河东
1300,津南
2300,河西
1300,红桥
2400,南开
2600,河东
1350,武清
2000,和平
1800,北辰
1800,河北
1500,东丽
2000,南开
1000,蓟州
2200,北辰
2900,河西
1600,河北
1300,武清
3500,河东
900,蓟州
2000,津南
2100,南开
2450,南开
7000,河西
3000,滨海新区
2000,静海
2400,塘沽
1500,红桥
2500,南开
2500,北辰
2000,塘沽
2500,武清
2260,开发区
4000,河东
1699,滨海新区
1500,塘沽
2150,河西
1600,塘沽
2100,西青
2700,东丽
3000,西青
2500,西青
2300,西青
3000,河东
2500,津南
900,西青
6800,南开
3000,静海
2600,西青
4000,西青
2800,津南
1800,河东
2400,西青
2300,塘沽
3000,南开
1200,汉沽
2700,和平
1200,武清
1500,北辰
2500,红桥
1600,西青
3200,河北
1650,东丽
2300,和平
2000,塘沽
1200,汉沽
3600,河西
2100,津南
1700,河东
1900,东丽
2600,西青
1300,武清
1300,津南
1600,北辰
1300,东丽
1500,塘沽
1100,宝坻
1800,东丽
1400,静海
2100,西青
1650,西青
2300,南开
1300,河东
1600,北辰
1450,塘沽
1200,北辰
3450,南开
1600,津南
2000,滨海新区
600,宝坻
2000,南开
4800,南开
1780,河西
1400,西青
950,大港
3000,和平
2150,南开
1300,北辰
1600,塘沽
1500,塘沽
1000,蓟州
1300,西青
1350,南开
1600,北辰
800,汉沽
1500,河北
1500,津南
3500,西青
1000,东丽
2100,河东
1700,河西
2600,南开
1800,河西
1300,河东
1100,北辰
1600,大港
1700,宁河
1760,南开
2600,西青
1700,西青
2400,武清
2500,西青
2000,西青
2000,塘沽
3400,东丽
2200,滨海新区
2400,南开
2100,西青
2800,武清
2100,河东
5000,南开
1600,塘沽
1600,蓟州
1500,宝坻
1200,西青
3000,南开
3100,西青
1300,西青
2100,北辰
3000,河东
2620,南开
2800,西青
2600,南开
1300,蓟州
1700,宁河
2000,塘沽
3000,河东
2500,东丽
3000,河东
2300,西青
2000,西青
2600,河东
2400,河西
1200,宝坻
1900,南开
2200,和平
1500,津南
4500,西青
2300,西青
1800,滨海新区
1100,静海
2600,大港
1500,津南
1600,北辰
1500,宁河
3200,河东
2600,东丽
2500,南开
5800,南开
1500,北辰
1900,河西
10000,南开
2100,西青
1600,西青
2000,南开
1300,西青
2000,西青
1250,武清
1500,北辰
1700,塘沽
1800,东丽
2300,和平
1300,塘沽
1700,河东
1700,南开
1600,河西
1500,武清
2100,南开
3500,南开
3300,和平
1500,塘沽
1350,北辰
1700,河西
2300,河西
1400,蓟州
1400,河东
1200,塘沽
4000,西青
3600,河西
13500,和平
1800,河西
2200,河西
1500,塘沽
1000,宝坻
2100,大港
1100,塘沽
2000,南开
3800,河西
1500,塘沽
2100,南开
3300,和平
1300,宝坻
1300,津南
2800,南开
3500,红桥
1300,红桥
3300,东丽
1600,红桥
5400,南开
1800,河西
1500,西青
2500,津南
1050,东丽
900,武清
1600,西青
1700,河北
1150,塘沽
1500,西青
2500,北辰
2000,东丽
2000,津南
1100,塘沽
1900,河北
1600,西青
1700,河西
1400,北辰
1900,南开
2000,河西
1500,西青
850,静海
1200,北辰
1850,河东
2300,河东
1100,南开
1800,西青
4100,河东
2490,红桥
2000,南开
1650,河西
1750,河东
1000,汉沽
1400,河东
2600,河东
850,宝坻
1400,红桥
1500,北辰
1800,塘沽
1200,红桥
2400,河西
1700,东丽
1100,宝坻
1500,北辰
1650,津南
1600,西青
2200,河东
2500,南开
1200,北辰
1700,河东
2300,和平
1550,津南
3500,南开
3200,南开
1800,北辰
1100,西青
2200,南开
850,武清
1700,红桥
2000,南开
2300,南开
2500,和平
2700,南开
3800,河西
1600,东丽
2500,开发区
1300,北辰
5200,和平
1500,塘沽
3500,南开
