西青区大寺宇泰家园,"117.218933,39.034264"
静海区静海镇九通家园,"116.96435,38.934403"
蓟州区文昌街府君里,"117.424262,40.058203"
南开区向阳路乐园里,"117.134386,39.154081"
东丽区大毕庄镇新村北里,"117.274831,39.20741"
河西区小海地桂江公寓,"117.270561,39.05896"
红桥区芥园街宜兰里,"117.155052,39.156433"
北辰区集贤里紫罗园,"117.141643,39.243215"
宁河区芦台镇顺兴小区,"117.821852,39.328906"
西青区新梅江南高雅公寓,"117.199512,39.052838"
大港区胜利街四化里(滨海),"117.209485,39.106803"
河西区天塔宾水北里,"117.195183,39.088791"
宝坻区海滨街瑞景花园,"117.317846,39.728157"
北辰区小淀秀水馨苑,"117.231558,39.257025"
塘沽区塘沽新村街正康里,"117.659531,39.023768"
河西区友谊路寿园里,"117.208379,39.083475"
西青区中北运通花园,"117.112571,39.150166"
红桥区咸阳北路街昌图楼,"117.149936,39.194169"
河西区天塔富满里,"117.197598,39.076291"
南开区华苑安华里,"117.146844,39.082979"
塘沽区大沽街安阳里(大沽),"114.3995,36.105941"
津南区双港顺和园,"117.292052,39.028896"
大港区古林街福渔园,"117.499035,38.855675"
西青区中北溪景苑,"117.07902,39.129794"
南开区长虹街宜川北里,"117.158639,39.14523"
河西区挂甲寺美宁公寓,"117.245062,39.101683"
河北区鸿顺里街,"117.203593,39.153485"
津南区咸水沽广建里,"117.401145,38.991301"
东丽区军粮城军祥园,"117.447396,39.065228"
和平区南营门文化村小区,"117.187528,39.121387"
塘沽区新河街湘江里,"117.65061,39.04765"
津南区津南八里台中海公园城望湖苑,"117.364847,38.91572"
塘沽区胡家园街旭辉香郡,"117.592211,39.026742"
西青区精武姚村景福花园,"117.121182,39.06139"
塘沽区新港街胜阳里,"117.695568,39.012344"
红桥区西沽街龙禧园,"117.145488,39.168255"
西青区大寺金友花园,"117.233048,39.000191"
塘沽区北塘街欣嘉园公寓,"121.416314,31.186769"
河东区富民路滨河新苑,"117.26949,39.093074"
北辰区北仓潞河丽苑,"117.092067,39.237802"
武清区杨村街博盛园,"117.066003,39.396024"
津南区津南八里台星耀五洲澜海庄园,"117.347325,38.908516"
东丽区万新街融创融园汇莲馨苑,"117.296526,39.1264"
河东区东新街松风西里,"117.282103,39.150023"
东丽区万新街香邑国际,"117.312833,39.144185"
滨海新区滨海城区喜塘苑,"117.632114,39.137755"
西青区侯台侯台家园,"117.118222,39.10757"
西青区杨柳青柳轩苑,"117.036605,39.144852"
南开区天拖南盈江西里,"117.141155,39.109239"
西青区侯台津洲花园,"117.10592,39.103904"
西青区大寺金友花园,"117.233048,39.000191"
西青区大寺金谊花园,"117.228472,38.997635"
武清区杨村街尚清湾(北区),"117.067692,39.417343"
南开区向阳路平定里,"117.138488,39.149547"
红桥区双环街碧春园,"117.157518,39.173286"
西青区李七庄悦雅花园(AC区),"117.188992,39.064126"
塘沽区新港街世纪祥和家园(滨海),"119.827621,33.995647"
塘沽区北塘街阅海名筑,"114.126847,22.549529"
河西区越秀路港云里,"117.219985,39.105341"
红桥区西沽街水木天成阁林园,"117.142024,39.166028"
河东区东新街松风东里,"117.284746,39.150837"
红桥区西沽街水竹花园,"117.162163,39.168531"
河西区柳林振财里,"117.276526,39.068358"
西青区大寺赤龙家园,"117.237149,38.992532"
河东区春华街华腾里,"117.232946,39.149411"
津南区津南八里台海尔格林小镇风笛庭院,"117.368414,38.922427"
津南区咸水沽新城和兴府,"117.39788,38.993092"
河东区常州道东瑞家园,"117.267211,39.163671"
北辰区大张庄镇金侨瑞公馆(一期),"117.213916,39.310853"
西青区新梅江南富力津门湖红树棕榈花园,"117.216049,39.066694"
河西区陈塘庄四信公寓,"117.25364,39.085029"
武清区杨村街同泽园(武清),"117.065136,39.388508"
南开区向阳路宜君北里,"117.12846,39.152524"
西青区大寺福泉花苑,"117.21938,39.015218"
北辰区北仓瑞翔家园,"117.132241,39.211127"
北辰区果园新村丹凤里,"117.145093,39.228522"
南开区嘉陵道川北里,"117.13232,39.133992"
西青区新梅江南富力津门湖江湾广场,"117.212955,39.06897"
南开区水上公园水上温泉花园,"117.159524,39.085764"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
塘沽区北塘街欣雅苑,"121.633911,31.328636"
武清区杨村街新湾花园(北园),"117.093068,39.320443"
西青区李七庄程华欣苑,"117.152366,39.057542"
和平区体育馆福林里,"117.202521,39.11744"
河西区梅江御江_,"117.243895,39.052474"
西青区新梅江南富力津门湖红树棕榈花园,"117.216049,39.066694"
宝坻区钰华街玺悦峰,"117.318934,39.696944"
和平区新兴街犀地,"117.196699,39.108892"
武清区杨村街新湾花园(北园),"117.093068,39.320443"
河西区大营门祺寿里,"117.223984,39.115134"
西青区李七庄悦雅花园(AC区),"117.188992,39.064126"
北辰区集贤里饶河里,"117.139889,39.235133"
河东区大王庄中海城市广场,"117.22391,39.129987"
南开区向阳路怡园里,"117.134433,39.152831"
北辰区青光荣溪园,"117.141403,39.230344"
武清区杨村街保利上河雅颂(北区),"117.043552,39.387714"
北辰区小淀万达青年城,"117.254634,39.240318"
河西区小海地华江里,"117.265212,39.062419"
河西区小海地华江里,"117.265212,39.062419"
津南区咸水沽新旭园,"117.402665,38.987349"
河东区大直沽荣兴温泉公寓,"117.244444,39.121307"
和平区劝业场保疆里,"117.192046,39.128965"
河西区天塔司法警校宿舍,"117.195591,39.078051"
南开区王顶堤迎风里,"117.153882,39.089824"
北辰区宜兴埠宜鹏园,"117.213038,39.20536"
河东区大直沽蝶桥公寓,"117.252189,39.109592"
河东区春华街城市之星大厦,"117.220158,39.149473"
汉沽区河西宜春里,"114.423564,27.820856"
宝坻区大白街远大城,"117.432671,39.49317"
河西区越秀路恩德西里,"117.215856,39.104901"
河北区靖江路街大江北里,"117.263041,39.171092"
河北区靖江路街大江北里,"117.263041,39.171092"
南开区万兴街义兴里,"117.173192,39.128259"
汉沽区寨上街平阳里,"103.804375,30.374662"
南开区华苑长华里,"117.14573,39.091637"
河东区二号桥福东里,"117.311282,39.099901"
东丽区万新街东城家园,"117.302841,39.120233"
河东区中山门和睦西里,"117.267472,39.114753"
南开区广开街朝园里,"117.176737,39.13984"
东丽区无瑕街民惠里,"117.514052,39.051203"
河东区大直沽海峰公寓,"117.24925,39.110746"
北辰区普东街宸欣家园,"117.198571,39.216327"
北辰区宜兴埠万科新城紫荆苑,"117.213665,39.2166"
武清区王庆坨镇金水湾(武清),"116.887254,39.187149"
河东区大直沽直沽园,"117.248702,39.117423"
河北区建昌道街育红东里,"117.230915,39.17654"
河北区光复道街顾安里,"117.203509,39.143912"
河东区二号桥建新东里(北区),"117.302797,39.097343"
北辰区宜兴埠万科新城丁香苑,"117.209825,39.215312"
红桥区双环街益春里,"117.157518,39.173286"
北辰区双街镇双街新城,"117.110284,39.267873"
红桥区双环街碧春园,"117.157518,39.173286"
北辰区果园新村旭日里,"117.143814,39.225349"
河东区春华街城市之星大厦,"117.220158,39.149473"
河东区富民路滨河新苑,"117.26949,39.093074"
东丽区新立镇蓝庭公寓,"117.373503,39.090749"
南开区体育中心水乡花园,"117.184489,39.073538"
河东区大王庄十三经路18号院,"117.232835,39.124756"
南开区王顶堤迎水东里,"117.154489,39.100152"
红桥区p公庄街万达水西台,"117.153636,39.15558"
西青区张家窝万科翡翠大道翡翠北苑,"117.079271,39.07224"
南开区向阳路凯盛家园,"117.136565,39.141602"
河西区马场道修业里,"117.212708,39.113151"
蓟州区文昌街贸源里,"117.420159,40.050098"
南开区王顶堤迎风里,"117.153882,39.089824"
南开区鼓楼东北角艺术公寓,"117.195596,39.150862"
河西区陈塘庄云山里,"117.273093,39.067387"
西青区中北慧轩家园,"117.114424,39.156755"
河西区天塔宾水里,"117.190481,39.082706"
大港区港西花园北里,"113.239604,40.051958"
塘沽区杭州道街时代名居(滨海),"113.590943,23.56226"
北辰区宜兴埠融创臻园兰禾嘉苑,"117.183985,39.244455"
西青区大寺霞东别墅小区,"117.24654,39.026407"
河东区富民路天琴里,"117.261537,39.094182"
滨海新区滨海城区宜禾南湾美欣园,"117.790809,39.117302"
南开区体育中心时代奥城,"117.172093,39.081604"
河东区富民路滨河新苑,"117.26949,39.093074"
南开区体育中心山海天,"117.166202,39.085155"
塘沽区新河街南益名士华庭玫瑰苑,"117.638473,39.058134"
西青区大寺佳和华庭,"117.270836,39.006754"
东丽区军粮城枫畅园,"117.429351,39.083421"
北辰区普东街宜居园,"117.229259,39.199653"
西青区张家窝君悦花苑,"117.048329,39.054826"
河东区大王庄十三经路18号院,"117.232835,39.124756"
武清区黄庄街金泰丽舍,"117.025456,39.371437"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
武清区杨村街惠昊商住,"117.093068,39.320443"
开发区第三大街朗月轩,"114.996337,35.804964"
东丽区张贵庄街民和巷景苑,"117.332769,39.096942"
津南区咸水沽津南新城合祥园,"117.401191,39.007322"
河北区望海楼街昆云里,"117.21552,39.163223"
东丽区大毕庄镇昱和里,"117.262053,39.208935"
河西区梅江梅江涟水园,"117.227089,39.068805"
河北区望海楼街孚泰公寓,"117.208549,39.15688"
河西区柳林雅致里(南区),"117.287715,39.070908"
河北区铁东路街北宁湾宁宇家园(商住楼),"117.215619,39.187509"
南开区广开街瑞德里,"117.171762,39.144202"
西青区张家窝仁盛里,"117.028307,39.081084"
津南区双港海天馨苑德信园,"117.297349,39.062179"
宝坻区海滨街天宝福苑,"117.350876,39.734934"
北辰区北仓融创御园,"117.151904,39.237339"
南开区向阳路临平里,"117.140433,39.145844"
武清区黄庄街路劲隽悦府,"117.05301,39.359328"
南开区广开街黄河道,"117.151965,39.14394"
西青区大寺金谊花园,"117.228472,38.997635"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
南开区华苑居华里,"117.150707,39.084706"
南开区天拖南晋宁北里,"117.153363,39.10934"
河西区柳林贺福里,"117.289819,39.065031"
河西区梅江南半岛豪庭,"117.229914,39.058634"
北辰区普东街远洋未来城冬博苑,"117.227214,39.20892"
河北区鸿顺里街月皓里,"117.207087,39.167536"
宝坻区海滨街绿色家园(宝坻),"117.322946,39.733892"
南开区王顶堤迎风里,"117.153882,39.089824"
和平区南营门文善里,"117.198964,39.121671"
塘沽区新河街京达明居(南区),"117.644604,39.034771"
和平区体育馆郑业里,"117.202013,39.116698"
河北区建昌道街诗景颂苑,"117.237735,39.174674"
河东区东新街曲溪西里,"117.278796,39.141766"
静海区团泊镇富力新城御湖北苑,"117.139848,38.887807"
北辰区双街镇碧龙园,"117.107686,39.264548"
静海区团泊镇富力新城御湖南苑,"117.139977,38.886453"
河东区向阳楼军馨家园,"117.264804,39.142958"
大港区迎新街兴华里(大港),"117.652652,39.046077"
南开区广开街怀仁里,"117.176955,39.142754"
东丽区新立镇丽恒花苑,"115.18682,32.476486"
西青区张家窝杰盛里,"117.041148,39.07098"
南开区向阳路连心里小区,"117.138515,39.14596"
河北区鸿顺里街律笛里,"117.211892,39.17429"
武清区豆张庄镇悦光年爱车汇广场,"116.997978,39.394375"
河西区柳林宽福里,"117.291546,39.066659"
东丽区津塘路蓝庭广场,"117.370868,39.089183"
南开区天拖南龙陵里,"117.150166,39.112706"
北辰区北仓北辰大厦,"117.134718,39.227597"
武清区豆张庄镇悦光年爱车汇广场,"116.997978,39.394375"
东丽区程林街秋丽家园,"117.302765,39.129467"
西青区中北金隅满堂红杉花苑,"117.099027,39.126402"
津南区津南八里台嘉泰翰林学府,"117.332415,38.941274"
津南区双港善和园,"117.296565,39.027899"
河北区靖江路街满江里(南区),"117.261519,39.165785"
塘沽区向阳街时代大厦,"116.134344,39.736694"
汉沽区汉沽街鑫源花苑,"117.817793,39.27377"
津南区津南八里台中海公园城澜湖苑,"117.352517,38.916258"
河东区上杭路红星国际星品大厦,"117.263343,39.126175"
津南区双港九洲创意园,"117.314424,39.04945"
南开区体育中心时代奥城,"117.172093,39.081604"
南开区华苑长华里,"117.14573,39.091637"
红桥区丁字沽街风采里,"117.171976,39.182438"
西青区大寺佳和雅庭,"117.268183,39.00188"
西青区大寺亲和康园,"117.276124,39.006656"
东丽区空港经济区颐景公寓,"117.408182,39.15419"
河西区土城七贤南里(商住楼),"117.248129,39.087949"
西青区大寺天任里,"117.250221,39.037161"
河北区光复道街昌海公寓,"117.211744,39.152875"
西青区杨柳青广汇园,"117.014074,39.145309"
东丽区空港经济区万科新里程花园,"117.411252,39.15277"
塘沽区向阳街西邻村小区,"104.110719,30.704904"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
北辰区佳荣里街瑞鹏家园,"117.117811,39.191548"
西青区侯台碧水家园B区,"117.106922,39.107555"
河西区天塔宾水西里,"117.198676,39.085944"
塘沽区新港街千间宿舍二段,"117.722537,39.003477"
东丽区张贵庄街好美嘉园,"117.303111,39.117646"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
北辰区双街镇柴楼新庄园隆园,"117.108835,39.273338"
河北区望海楼街金兆园,"117.206855,39.159667"
北辰区北仓融创御园,"117.151904,39.237339"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
和平区南市天汇中心,"117.195182,39.137008"
河东区大王庄丰盛园,"117.2421,39.122567"
和平区劝业场和平翰林公馆,"117.203573,39.126583"
北辰区双街镇国耀上河城,"117.110534,39.271231"
北辰区天穆普泽家园,"117.199947,39.206585"
北辰区宜兴埠宜淞园,"117.230784,39.205343"
北辰区青光荣业园,"117.141403,39.230344"
北辰区北仓蓝岸森林,"117.15203,39.218547"
河东区富民路招商雍景湾,"117.272129,39.08976"
北辰区果园新村都旺新城兰芳园,"117.148447,39.232333"
塘沽区工农村街融科心贻湾,"117.649391,39.06292"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
塘沽区新港街东海云天,"117.714189,39.019685"
北辰区普东街远洋未来城冬博苑,"117.227214,39.20892"
北辰区北仓荣畅园,"117.085894,39.221907"
东丽区空港经济区颐景公寓,"117.408182,39.15419"
塘沽区工农村街贻成尚北,"117.665962,39.068342"
河北区望海楼街昆石里,"117.214716,39.164695"
北辰区宜兴埠宜淞园,"117.230784,39.205343"
南开区体育中心水乡花园,"117.184489,39.073538"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
北辰区果园新村旭日里,"117.143814,39.225349"
南开区体育中心时代奥城,"117.172093,39.081604"
塘沽区新港街东海云天,"117.714189,39.019685"
西青区精武姚村景福花园,"117.121182,39.06139"
西青区精武姚村景福花园,"117.121182,39.06139"
西青区李七庄美域豪庭,"117.193632,39.062452"
南开区王顶堤堤南里,"117.148663,39.100354"
河西区梅江第六田园优仕庭园,"117.234663,39.062302"
南开区华苑莹华里,"117.148228,39.088529"
南开区学府街光湖里,"117.168555,39.117495"
塘沽区大沽街碧桂园天誉,"116.174168,39.76588"
北辰区北仓辰庆家园,"117.161567,39.232791"
西青区大寺金龙花园,"117.24654,39.026407"
河北区望海楼街孚泰公寓,"117.208549,39.15688"
东丽区空港经济区YOHO湾,"117.40033,39.162112"
红桥区双环街井田公寓(北院),"117.157518,39.173286"
河北区光复道街君临大厦,"117.203854,39.138804"
津南区咸水沽金才园,"117.376902,38.989084"
塘沽区解放路街吉祥里,"116.444995,39.93205"
东丽区程林街秋丽家园,"117.302765,39.129467"
东丽区华明镇雪优花园,"117.413549,39.177307"
河东区常州道一品家园,"117.248784,39.150179"
南开区万兴街飞云东里,"117.163303,39.128282"
津南区咸水沽光明北里,"117.387588,38.995559"
西青区中北溪秀苑,"117.099271,39.129395"
南开区王顶堤凤园里,"117.154657,39.094573"
南开区天拖南盈江里,"117.14395,39.108312"
塘沽区新港街铭海园,"117.722341,39.002287"
津南区双港欣悦佳园,"117.297673,39.010652"
河西区天塔富达里,"117.200517,39.077287"
塘沽区胡家园街乐达里,"117.598421,39.040624"
西青区李七庄万科金奥广场(商住楼),"117.199241,39.071745"
河西区越秀路红波里,"117.220662,39.102455"
河西区陈塘庄古芳里,"117.252796,39.088649"
河东区春华街美福园(一期),"117.224798,39.143543"
西青区中北新科园,"117.101735,39.109902"
北辰区青光荣业园,"117.141403,39.230344"
塘沽区新河街众兴里,"117.641761,39.038833"
河东区常州道一品家园,"117.248784,39.150179"
河北区新开河街盛泰嘉园,"117.18901,39.187685"
北辰区普东街远洋未来城夏岚苑,"117.225922,39.208621"
红桥区芥园街水西园,"117.167034,39.153847"
河西区马场道三合里,"117.205111,39.104253"
北辰区青光荣悦园,"117.09895,39.217256"
北辰区小淀新城樾风华翠樾园,"117.240657,39.261202"
北辰区果园新村旭日里,"117.143814,39.225349"
南开区广开街凤玉里,"117.171364,39.138907"
津南区津南八里台枫情阳光城,"117.364134,38.905836"
南开区广开街怀仁里,"117.176955,39.142754"
静海区静海镇裕欣楼,"116.934052,38.945793"
和平区南营门天兴里,"117.196447,39.120341"
北辰区天穆金侨宸公馆(一期),"117.162793,39.215904"
东丽区空港经济区名居花园,"117.411393,39.155995"
南开区体育中心时代奥城,"117.172093,39.081604"
西青区大寺龙顺园,"117.257048,39.016209"
河西区挂甲寺前程里(河西),"117.227836,39.101647"
河北区鸿顺里街日方里,"117.201041,39.168221"
滨海新区中新生态城沁风御庭,"117.748121,39.13105"
北辰区青光荣业园,"117.141403,39.230344"
津南区海河教育园区阳光城未来悦,"117.370532,38.981143"
北辰区青光盛锦园,"117.141403,39.230344"
南开区万兴街义兴里,"117.173192,39.128259"
河西区梅江南花样年喜年广场,"117.238905,39.050093"
河西区越秀路红波里,"117.220662,39.102455"
津南区北闸口宣惠园,"117.408081,38.966375"
静海区静海镇绿城春熙云峰春熙苑,"116.969896,38.954805"
河东区大王庄丰盛园,"117.2421,39.122567"
西青区杨柳青长青里,"117.008698,39.147093"
津南区双港红|领世郡常春藤,"117.283176,39.034387"
南开区广开街怀仁里,"117.176955,39.142754"
南开区万兴街义兴南里,"117.173668,39.125871"
宝坻区海滨街灵秀丽苑,"117.357206,39.737486"
北辰区集贤里饶河里,"117.139889,39.235133"
南开区王顶堤迎水东里,"117.154489,39.100152"
河北区建昌道街育红东里,"117.230915,39.17654"
武清区汊沽港镇校苑小区,"116.946417,39.254125"
塘沽区解放路街吉祥里,"116.444995,39.93205"
河西区柳林雅致里(北区),"117.287742,39.072232"
汉沽区河西三明里,"117.229416,39.115718"
北辰区果园新村丹凤里,"117.145093,39.228522"
河北区鸿顺里街元吉里,"117.202879,39.161025"
河东区二号桥福庭里,"117.298206,39.095757"
红桥区双环街佳园北里,"117.157518,39.173286"
北辰区果园新村瀛台里,"117.137386,39.229556"
武清区豆张庄镇招商局网谷企业街区,"116.991845,39.423853"
武清区汊沽港镇翡翠湾景园,"116.958996,39.242632"
北辰区瑞景街瑞益园,"117.128848,39.213848"
北辰区集贤里虎林里,"117.136546,39.236794"
大港区港西港中双丰小区,"121.422697,31.693428"
南开区广开街级升里,"117.173628,39.144675"
河北区建昌道街富瀛洲花园,"117.233085,39.187463"
河北区靖江路街丹江里,"117.26014,39.17392"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
北辰区双街镇聚龙园,"117.111183,39.263922"
宝坻区宝平街中保宏发楼,"117.311073,39.723021"
河北区宁园街富秀园,"117.224918,39.166788"
西青区大寺金泽园,"117.226887,39.012072"
北辰区集贤里饶河里,"117.139889,39.235133"
河西区天塔宾水里,"117.190481,39.082706"
塘沽区西大沽街新桥里,"117.667597,39.00372"
北辰区双街镇融创东岸名郡,"117.099272,39.310822"
北辰区果园新村果园里,"117.148875,39.224644"
西青区大寺赤龙家园,"117.237149,38.992532"
河西区小海地华江里,"117.265212,39.062419"
津南区咸水沽育才里(津南),"117.390003,38.996868"
河西区柳林风致里,"117.229416,39.115718"
河东区东新街天泉西里,"117.28779,39.13715"
西青区精武姚村景福花园,"117.121182,39.06139"
西青区李七庄悦雅花园(AC区),"117.188992,39.064126"
南开区天拖南华宁南里,"117.156515,39.144105"
和平区南营门观云里,"117.192765,39.117248"
河西区柳林景致里,"117.284591,39.07194"
南开区王顶堤堤中里,"117.150766,39.103647"
南开区王顶堤园荫北里,"117.150688,39.097753"
南开区兴南街伊顿玫瑰公寓,"117.180421,39.135715"
河东区鲁山道彩丽园,"117.295066,39.15751"
河西区柳林宽福里,"117.291546,39.066659"
静海区团泊镇金科天湖南苑,"117.099083,38.977724"
红桥区双环街碧春园,"117.157518,39.173286"
南开区王顶堤林苑北里,"117.147162,39.095751"
大港区迎新街六合里(滨海),"120.284881,34.272566"
西青区大寺梅江康城益康园,"117.230057,39.03202"
河北区鸿顺里街律笛里,"117.211892,39.17429"
西青区精武富家湾,"117.132191,39.057747"
河西区小海地华江里,"117.265212,39.062419"
河东区常州道一品家园,"117.248784,39.150179"
河东区上杭路红星大厦,"117.260193,39.127482"
塘沽区向阳街福园里,"117.673675,39.032187"
南开区王顶堤园荫里,"117.152121,39.096456"
大港区迎宾街重阳里,"117.470723,38.852443"
河西区下瓦房福盛花园,"117.233982,39.107887"
河西区大营门重建里,"117.230154,39.116712"
津南区双港仁和园(津南),"117.32534,39.04859"
武清区王庆坨镇金水湾(武清),"116.887254,39.187149"
河东区中山门友爱东道小区,"117.275222,39.107493"
开发区第四大街万通新城国际,"114.996337,35.804964"
南开区学府街照湖里,"117.166301,39.117061"
宝坻区宝平街建设楼(宝坻),"117.302982,39.724608"
和平区南营门瑞竹大厦,"117.188634,39.126063"
西青区侯台侯台家园,"117.118222,39.10757"
北辰区普东街富宜里,"117.210804,39.201051"
红桥区丁字沽街风光里,"117.174053,39.18066"
北辰区宜兴埠翠萍园,"117.228061,39.194105"
南开区天拖南盈江里,"117.14395,39.108312"
河北区鸿顺里街胜天里,"117.201199,39.164029"
西青区大寺金旺佳园,"117.168301,39.06003"
东丽区利津路永平巷,"117.319116,39.097277"
南开区华苑天华里(南开),"117.141779,39.086338"
西青区大寺赤龙家园,"117.237149,38.992532"
南开区王顶堤凤园里,"117.154657,39.094573"
红桥区双环街碧春园,"117.157518,39.173286"
