西青区大寺宇泰家园,"117.218933,39.034264"
南开区兴南街寿康里,"117.179361,39.13545"
宝坻区海滨街瑞祥花园(宝坻),"117.31517,39.727528"
南开区天拖南盈江里,"117.14395,39.108312"
河西区天塔年德里,"117.204673,39.081981"
河北区光复道街瑞海大厦,"117.205992,39.146189"
南开区王顶堤凤园里,"117.154657,39.094573"
河西区马场道三合里,"117.205111,39.104253"
和平区劝业场宜天花园(和平时光),"117.191237,39.128995"
和平区南营门吉利花园,"117.198879,39.124562"
河东区向阳楼翠阜新村翠荫里,"117.263166,39.147474"
河西区大营门凯德国贸,"117.22295,39.119777"
塘沽区新港街新都家园,"116.348289,40.065798"
北辰区双街镇碧龙园,"117.107686,39.264548"
南开区天拖南保山南里,"117.153608,39.111304"
红桥区西沽街水木天成阁林园,"117.142024,39.166028"
河西区越秀路恩德东里,"117.21667,39.106319"
南开区王顶堤金厦里,"117.15059,39.102913"
和平区南市天汇茗苑,"117.19334,39.13848"
西青区新梅江南富力津门湖江湾广场,"117.212955,39.06897"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
红桥区大胡同街惠灵顿河庭花苑,"117.177236,39.157937"
南开区体育中心时代奥城,"117.172093,39.081604"
南开区向阳路昔阳南里,"117.1337,39.138741"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
西青区中北东兴里(东区),"117.096292,39.135103"
河北区光复道街君临大厦,"117.203854,39.138804"
东丽区万新街畅悦华庭,"117.29789,39.129489"
红桥区咸阳北路街永进楼,"117.146092,39.194638"
西青区中北华亭国际,"117.079691,39.125908"
塘沽区胡家园街欣美园,"117.587051,39.033375"
北辰区北仓荣畅园,"117.085894,39.221907"
南开区鼓楼仁恒海河广场,"117.199081,39.144499"
西青区杨柳青青云里,"117.021116,39.151093"
西青区侯台侯台家园,"117.118222,39.10757"
南开区体育中心海天国际公寓,"117.175607,39.0781"
河西区下瓦房福盛花园,"117.233982,39.107887"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
河东区二号桥福东北里,"117.311781,39.102222"
塘沽区新河街高新里,"117.636309,39.038543"
北辰区瑞景街燕宇艺术家园,"117.128112,39.204179"
南开区王顶堤金冠里,"117.146126,39.103336"
西青区大寺龙居花园一区,"117.251452,39.024889"
河西区友谊路恒盛大厦,"117.217954,39.082192"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
河东区向阳楼红城柏丽花园,"117.243017,39.151693"
北辰区果园新村高峰里,"117.148839,39.22761"
塘沽区北塘街海沣苑,"117.705398,39.114234"
塘沽区塘沽新村街新兴里(滨海),"117.66602,39.027097"
红桥区咸阳北路街北岸中心,"117.147827,39.185942"
东丽区津塘路万科金域华府蓝庭雅苑,"117.360121,39.09596"
开发区第五大街启航嘉园,"114.996337,35.804964"
开发区第五大街启航嘉园,"114.996337,35.804964"
北辰区北仓北辰红星国际广场(商住楼),"117.145583,39.221164"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
河东区一号桥金地紫乐广场,"117.289157,39.101021"
西青区张家窝保利金融街诺丁山,"117.041693,39.055271"
河北区新开河街盛泰嘉园,"117.18901,39.187685"
西青区中北溪悦园,"117.074981,39.129408"
塘沽区杭州道街杭州道小区(滨海),"119.827621,33.995647"
塘沽区杭州道街弘泽城,"117.681847,39.04018"
东丽区东丽湖恒大翡翠华庭,"117.479351,39.207468"
东丽区空港经济区中铁建梧桐苑,"117.41909,39.145862"
塘沽区新港街紫云园,"116.712543,39.91936"
西青区中北华兴里(西青),"117.094311,39.085484"
南开区黄河道熙汇广场,"117.129274,39.143159"
南开区体育中心金淼园,"117.161137,39.078654"
滨海新区滨海城区樾塘芳塘苑,"117.632369,39.132077"
西青区李七庄融侨观澜,"117.198189,39.04889"
塘沽区北塘街阅海名筑,"114.126847,22.549529"
津南区双港香雪苑,"117.29005,39.023861"
西青区中北华亭国际,"117.079691,39.125908"
宝坻区海滨街天秀园,"117.341911,39.734555"
南开区黄河道熙汇广场,"117.129274,39.143159"
南开区体育中心时代奥城,"117.172093,39.081604"
北辰区佳荣里街瑞鹏家园,"117.117811,39.191548"
津南区咸水沽津南新城合茂园,"117.401191,39.007322"
河东区常州道雍华府(商住楼),"117.251114,39.152512"
南开区鼓楼富力城华庭,"117.179123,39.150611"
东丽区华明镇华富家园,"117.436361,39.178046"
河西区下瓦房铂津湾南苑(商住楼),"117.241879,39.106329"
开发区第一大街远洋琨庭春华园,"114.996337,35.804964"
西青区侯台津洲花园,"117.10592,39.103904"
北辰区普东街远洋未来城万h书院,"117.227214,39.20892"
宁河区芦台镇恒大御景半岛御馨园,"117.832511,39.359331"
静海区团泊镇仁爱团泊湖逸湖岸(南园),"117.159372,38.897878"
大港区迎宾街建安里(滨海),"119.827621,33.995647"
河西区柳林东花园大楼,"117.28068,39.077171"
西青区大寺赤龙家园,"117.237149,38.992532"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
南开区万兴街凯立花园,"117.17927,39.127183"
和平区小白楼明源里,"117.226695,39.124123"
河北区鸿顺里街锦绣园(河北),"117.209925,39.167507"
南开区王顶堤迎水东里,"117.154489,39.100152"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
蓟州区文昌街碧玉家园,"117.454508,40.056268"
大港区迎宾街建安里(滨海),"119.827621,33.995647"
南开区华苑天华里(南开),"117.141779,39.086338"
武清区杨村街保利上河雅颂(南区),"117.040683,39.383436"
红桥区芥园街米兰弘丽园,"117.163198,39.155489"
河东区大王庄天津雅颂居,"117.22396,39.132616"
北辰区瑞景街秋瑞家园,"117.112778,39.209942"
东丽区利津路詹滨里社区,"117.316806,39.094916"
南开区兴南街龙凤里(南开),"117.1855,39.137665"
红桥区丁字沽街绮水苑,"117.151619,39.182212"
西青区精武恒益隆庭,"117.105065,39.036227"
东丽区新立镇东丽1号,"117.360018,39.083893"
宝坻区钰华街馨和家园,"117.301483,39.707653"
津南区津南八里台中海公园城鸣湖苑,"117.360885,38.9232"
河西区小海地桂江里(河西),"117.268908,39.057886"
河西区陈塘庄泰山里,"117.273986,39.070669"
津南区津南八里台中海公园城悦湖苑,"117.360885,38.9232"
河西区小海地三水南里,"117.269569,39.061719"
西青区中北东方环球影城,"117.096554,39.142786"
河东区向阳楼红城柏丽花园,"117.243017,39.151693"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
红桥区芥园街米兰弘丽园,"117.163198,39.155489"
东丽区利津路金华里(东丽),"117.31674,39.094739"
北辰区天穆万隆桃香园,"117.166469,39.201291"
东丽区军粮城军丽园,"117.451232,39.060144"
河北区铁东路街宜白南里,"117.216993,39.197926"
北辰区小淀秀水馨苑,"117.231558,39.257025"
南开区万兴街双峰道小区,"117.18418,39.123864"
北辰区北仓拜泉里,"117.133943,39.236609"
津南区咸水沽紫江馨苑,"117.40248,38.990966"
宁河区芦台镇庆丰里(宁河),"117.83222,39.332582"
大港区港西新兴西里(滨海),"119.920101,34.016756"
津南区北闸口建新公寓(津南),"117.414132,38.953499"
南开区天拖南淦江东里,"117.153184,39.107235"
河北区王串场街环盛里,"117.236766,39.163942"
红桥区双环街碧春园,"117.157518,39.173286"
河东区上杭路嘉华园(河东),"117.270249,39.133434"
津南区咸水沽育才里(津南),"117.390003,38.996868"
河西区天塔环湖南里,"117.193333,39.086894"
红桥区丁字沽街桃花园南里,"117.17481,39.185313"
南开区天拖南淦江东里,"117.153184,39.107235"
河东区鲁山道秀丽园,"117.289377,39.158259"
武清区杨村街慧翔龙苑,"117.093068,39.320443"
和平区劝业场,"117.198712,39.132929"
北辰区小淀秀水馨苑,"117.231558,39.257025"
河北区靖江路街义江里,"117.257278,39.170917"
东丽区利津路津门里,"117.317532,39.091287"
南开区兴南街怀庆里,"117.185046,39.132103"
蓟州区渔阳镇鸿雁里,"117.39876,40.047196"
北辰区瑞景街秋瑞家园,"117.112778,39.209942"
河西区友谊路中乒公寓,"117.218709,39.086651"
河北区王串场街玉容花园,"117.236311,39.16806"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
河东区春华街巨福新园,"117.22319,39.144831"
蓟州区文昌街山水颐城,"117.454188,40.061361"
津南区咸水沽蓝光雍锦香颂,"117.422658,39.000884"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
河西区梅江天津瑞府,"117.256704,39.047191"
滨海新区中新生态城世茂玖熙,"117.753399,39.113565"
静海区团泊镇基业世p,"117.093565,38.968955"
塘沽区工农村街桃源观邸,"117.6442,39.068893"
红桥区西营门街民康园,"117.157518,39.173286"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
北辰区普东街远洋未来城万h书院,"117.227214,39.20892"
塘沽区新河街南益名士华庭玫瑰苑,"117.638473,39.058134"
武清区豆张庄镇经纬城市绿洲学府华庭,"116.997663,39.405926"
开发区第五大街启航嘉园,"114.996337,35.804964"
河东区一号桥紫乐名轩,"117.291514,39.100036"
滨海新区滨海城区中交春风海上,"117.626655,39.092164"
塘沽区北塘街欣昌苑,"117.647127,39.138065"
河西区陈塘庄秀峰里小区,"117.274218,39.066062"
塘沽区渤海石油街渤海花园,"113.871174,22.787907"
西青区大寺馨睦家园,"117.24654,39.026407"
东丽区空港经济区意境兰庭,"117.392556,39.168667"
西青区中北裕达家园,"117.125786,39.151621"
西青区海泰高新区保利拾光年和光北苑,"117.08446,39.106611"
西青区侯台津洲花园,"117.10592,39.103904"
河东区中山门凯旋门,"117.283347,39.103163"
津南区双港靖博园,"117.293184,39.061446"
西青区大寺赤龙家园,"117.237149,38.992532"
南开区鼓楼仁恒海河广场,"117.199081,39.144499"
静海区静海镇绿城春熙明月清波苑,"116.969896,38.954805"
西青区精武保利和光尘樾,"117.100181,39.070425"
西青区侯台万科西华府芳华苑,"117.103391,39.107323"
津南区双港泓荷园,"117.280547,39.053643"
河东区二号桥建新东里(北区),"117.302797,39.097343"
西青区海泰高新区保利拾光年和光北苑,"117.08446,39.106611"
塘沽区新港街世纪祥和新园,"117.703959,39.014222"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
汉沽区河西桥园里小区(滨海),"120.141221,34.230911"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
武清区杨村街云河Park,"117.093068,39.320443"
北辰区北仓蓝岸森林,"117.15203,39.218547"
红桥区芥园街,"117.157518,39.173286"
西青区中北溪清苑,"117.100655,39.133978"
河北区建昌道街诗景凤苑,"117.234707,39.174831"
东丽区新立镇东丽开发区国际医疗器械产业园,"117.35774,39.087028"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
塘沽区新港街近开里,"117.721858,39.014487"
汉沽区河西馨月庭苑,"117.229416,39.115718"
河西区大营门天津公馆(公寓),"117.231485,39.116793"
津南区咸水沽恒大悦府,"117.376686,38.983974"
河东区富民路雅仕兰庭,"117.277044,39.095482"
东丽区新立镇蓝庭公寓,"117.373503,39.090749"
西青区李七庄金丽花园,"117.177907,39.063896"
武清区杨村街悦光年威壹汽车中心,"117.093068,39.320443"
津南区咸水沽蓝光雍锦香颂,"117.422658,39.000884"
北辰区北仓荣畅园,"117.085894,39.221907"
东丽区程林街程林一村,"117.297939,39.138194"
塘沽区新河街高新里,"117.636309,39.038543"
宝坻区钰华街龙熙帝景,"117.31569,39.708975"
东丽区新立镇蓝庭公寓,"117.373503,39.090749"
静海区团泊镇林奇郡瀛湖湾,"117.150037,38.888174"
西青区精武富家湾,"117.132191,39.057747"
西青区中北云锦世家(南区),"117.079962,39.111059"
南开区向阳路芥园中里,"117.131305,39.150835"
河东区二号桥津塘路187号小区,"117.312009,39.099241"
北辰区青光荣欢园,"117.141403,39.230344"
塘沽区杭州道街新园里(滨海),"119.827621,33.995647"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
南开区水上公园阳光100天塔喜马拉雅,"117.18553,39.09771"
津南区双港宝福家园,"117.284765,39.052879"
滨海新区中新生态城滨海红星天铂曜园,"117.748121,39.13105"
宝坻区海滨街灵秀丽苑,"117.357206,39.737486"
南开区万兴街玉皇里,"117.172967,39.121711"
南开区万兴街红|花园,"117.163593,39.128352"
河西区天塔宾水东里,"117.198112,39.088564"
西青区中北运通花园,"117.112571,39.150166"
大港区迎宾街阳春里,"117.475441,38.852747"
和平区南营门景阳里,"117.195461,39.123018"
南开区兴南街耀远里,"117.182286,39.138152"
北辰区小淀万达青年城,"117.254634,39.240318"
塘沽区渤海石油街渤海石油蓝苑南区,"113.871174,22.787907"
塘沽区向阳街西邻村小区,"104.110719,30.704904"
蓟州区渔阳镇富龙湾,"117.398432,40.045074"
西青区大寺亲和康园,"117.276124,39.006656"
南开区王顶堤金堤里,"117.150171,39.104772"
北辰区北仓南仓新苑,"117.153102,39.21233"
汉沽区寨上街东风北里,"115.967821,39.76412"
河北区建昌道街育红东里,"117.230915,39.17654"
津南区双港顺和园,"117.292052,39.028896"
西青区新梅江南富力津门湖江湾广场,"117.212955,39.06897"
东丽区无瑕街丽霞里,"117.506726,39.054741"
河东区春华街巨福园公寓,"117.221978,39.148908"
河西区挂甲寺景福里,"117.228859,39.103994"
南开区学府街风湖里,"117.165555,39.119509"
河西区陈塘庄龙博花园,"117.278485,39.059745"
河东区二号桥建新东里(北区),"117.302797,39.097343"
北辰区集贤里安达里(北辰),"117.139364,39.2383"
大港区港西同盛里西区,"121.422697,31.693428"
宁河区芦台镇福康花园,"117.827909,39.3168"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
西青区李七庄汇颐花园,"117.188749,39.067726"
西青区精武恒益隆庭,"117.105065,39.036227"
武清区杨村街祥福园,"117.085213,39.40326"
西青区中北假日盈润园,"117.084585,39.12495"
西青区精武学畔馨园,"117.130122,39.055466"
塘沽区工农村街中海津湖湾,"116.393361,39.925757"
东丽区空港经济区意境兰庭,"117.392556,39.168667"
滨海新区中新生态城美林园,"117.748121,39.13105"
南开区密云路鼎晟双子座,"117.125554,39.135152"
西青区中北东兴里(西区),"117.094284,39.134908"
武清区杨村街亚泰澜公馆,"117.036774,39.369061"
河东区常州道祥瑞家园,"117.247567,39.152143"
南开区王顶堤保利云禧,"117.144351,39.098568"
塘沽区工农村街贻成尚北,"117.665962,39.068342"
蓟州区罗庄子镇山湖郡苑,"117.426301,40.144828"
宝坻区钰华街玫瑰湾花园,"117.311133,39.700859"
西青区精武保利和光尘樾,"117.100181,39.070425"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
西青区海泰高新区金融街融汇,"117.095616,39.086803"
西青区精武保利和光尘樾,"117.100181,39.070425"
北辰区北仓北辰红星国际广场(商住楼),"117.145583,39.221164"
河东区上杭路红星大厦,"117.260193,39.127482"
南开区黄河道熙汇广场,"117.129274,39.143159"
西青区精武中骏柏景湾,"117.127477,39.033355"
南开区体育中心阳光100国际新城西园,"117.159358,39.073462"
蓟州区渔阳镇州河湾东园(二期),"117.434389,40.023554"
宁河区芦台镇鹭岛国际花园香榭世家,"117.809584,39.340388"
塘沽区北塘街君澜名邸,"117.704083,39.100616"
河东区富民路富民河畔家园,"117.270013,39.098367"
东丽区空港经济区万科新里程家园,"117.414482,39.153946"
河东区一号桥金地紫乐广场,"117.289157,39.101021"
西青区侯台碧水家园DE区,"117.107074,39.107766"
西青区大寺馨睦家园,"117.24654,39.026407"
河东区春华街万春美钻大厦,"117.220261,39.150359"
河西区梅江津铁美苑,"117.229735,39.084229"
宝坻区宝平街润阳馨园,"117.276375,39.705105"
南开区嘉陵道川南里,"117.134282,39.128498"
和平区南市裕德里,"117.198473,39.1391"
津南区咸水沽沽上江南,"117.396737,38.999764"
西青区新梅江南富力津门湖橘墅花园,"117.210721,39.055044"
西青区精武学畔馨园,"117.130122,39.055466"
滨海新区滨海城区中福朗诗朗福园,"117.79614,39.104609"
静海区团泊镇鸿坤理想城澜境西苑,"117.1311,38.874688"
大港区古林街海天园,"114.235658,22.558117"
津南区津南八里台碧桂园蓝岸庭院,"117.341883,38.946839"
北辰区天穆万隆桃香园,"117.166469,39.201291"
宁河区芦台镇顺兴小区,"117.821852,39.328906"
河东区中山门凯旋门,"117.283347,39.103163"
东丽区张贵庄街润景家园,"117.319403,39.108986"
南开区王顶堤中海御湖翰苑(商住楼),"117.154844,39.087461"
南开区体育中心时代奥城,"117.172093,39.081604"
北辰区天穆普泽家园,"117.199947,39.206585"
河西区小海地云江新苑,"117.261681,39.05819"
南开区体育中心时代奥城,"117.172093,39.081604"
西青区大寺亲和美园,"117.272491,39.012807"
西青区侯台碧水家园B区,"117.106922,39.107555"
南开区密云路鼎晟双子座,"117.125554,39.135152"
西青区大寺金谊花园,"117.228472,38.997635"
西青区大寺金谊花园,"117.228472,38.997635"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
北辰区天穆天辰世纪天和雅园,"117.170252,39.201895"
塘沽区向阳街吉宁里,"117.669434,39.038937"
东丽区津塘路蓝庭广场,"117.370868,39.089183"
和平区体育馆铭通里小区,"117.204252,39.113561"
塘沽区新河街珠江里(滨海),"119.827621,33.995647"
河东区向阳楼阳明里,"117.274278,39.148684"
南开区向阳路芥园里,"117.134261,39.150685"
河西区小海地华江里,"117.265212,39.062419"
武清区黄庄街泰合府,"117.02771,39.374494"
南开区天拖南盈江里,"117.14395,39.108312"
南开区体育中心欣居园,"117.174171,39.078158"
和平区南市金茂广场(商住楼),"117.188525,39.13691"
塘沽区北塘街欣昌苑,"117.647127,39.138065"
北辰区小淀新城樾风华翠樾园,"117.240657,39.261202"
河西区小海地松江里,"117.264619,39.064009"
河西区友谊路纯真里,"117.225122,39.084861"
蓟州区罗庄子镇州河湾西园(西区),"117.426301,40.144828"
河东区常州道一品家园,"117.248784,39.150179"
塘沽区胡家园街佳成苑,"121.271065,31.205433"
西青区李七庄万科东第,"117.193142,39.055194"
河西区梅江富华梅江公馆,"117.230646,39.079856"
和平区新兴街犀地,"117.196699,39.108892"
河西区小海地华江里,"117.265212,39.062419"
河西区桃园街元兴新里,"117.214729,39.108344"
塘沽区解放路街金泰新村(西区),"117.66759,39.021757"
宝坻区钰华街玺悦峰,"117.318934,39.696944"
大港区港西心港假日苑(西区),"121.422697,31.693428"
塘沽区解放路街吉祥里,"116.444995,39.93205"
南开区鼓楼东北角艺术公寓,"117.195596,39.150862"
河西区梅江南天浦园,"117.232146,39.051788"
塘沽区向阳街东方里,"113.284397,23.134067"
南开区王顶堤园荫北里,"117.150688,39.097753"
和平区小白楼外纺宿舍楼,"117.219768,39.131377"
宝坻区钰华街金顺园,"117.314078,39.691002"
津南区双港首创昆芳苑,"117.344556,39.027218"
南开区向阳路凯盛家园,"117.136565,39.141602"
红桥区芥园街隆春里,"117.171494,39.152469"
红桥区芥园街宜兰里,"117.155052,39.156433"
东丽区空港经济区锦润华庭,"117.392556,39.168667"
红桥区西于庄街子牙南里,"117.16426,39.171572"
南开区鼓楼天霖园,"117.180597,39.146117"
河西区小海地玉峰花园,"117.276646,39.062973"
西青区大寺金友花园,"117.233048,39.000191"
津南区双港津铁惠苑,"117.283237,39.057095"
东丽区军粮城秀霞里,"117.516814,39.04932"
武清区大王古庄镇英伦花园,"116.809311,39.57462"
西青区精武国兴佳园,"117.124582,39.050499"
河北区建昌道街建红里,"117.236016,39.178504"
西青区张家窝仁盛里,"117.028307,39.081084"
北辰区宜兴埠春泽苑,"117.230865,39.208827"
东丽区利津路金华里(东丽),"117.31674,39.094739"
津南区咸水沽金御中央,"117.379212,38.992209"
塘沽区解放路街福星里,"117.675759,39.023666"
河北区望海楼街蓬莱新里,"117.200959,39.156736"
西青区精武小镇西西里瑞国里,"117.11972,39.037841"
河西区柳林风致里,"117.229416,39.115718"
北辰区双街镇柴楼新庄园金园,"117.109306,39.2753"
南开区王顶堤凤园里,"117.154657,39.094573"
河西区下瓦房同善里(河西),"117.231663,39.112418"
西青区侯台园艺工程研究所小区,"117.132279,39.10582"
静海区团泊镇津泊湾,"117.170844,38.923231"
北辰区北仓辰庆家园,"117.161567,39.232791"
河东区大直沽金昌里小区,"117.256802,39.118501"
河东区鲁山道彩丽园,"117.295066,39.15751"
南开区向阳路乐园里,"117.134386,39.154081"
西青区精武金旺南里,"117.168397,39.058752"
河东区大王庄祥云名苑,"117.228951,39.130339"
红桥区西于庄街礼貌楼,"117.166324,39.17596"
南开区王顶堤横江里,"117.144128,39.111593"
河西区小海地桂江里(河西),"117.268908,39.057886"
河东区上杭路程林里,"117.267124,39.132803"
汉沽区茶淀街润和馨苑,"104.199328,30.571597"
河东区常州道一品家园,"117.248784,39.150179"
河东区上杭路懿德园,"117.255284,39.128865"
宝坻区海滨街绿色家园(宝坻),"117.322946,39.733892"
红桥区双环街碧春园,"117.157518,39.173286"
北辰区普东街普兴里,"117.203755,39.199393"
塘沽区工农村街晓镇家园,"117.676766,39.053841"
红桥区西于庄街奋斗楼,"117.164926,39.175285"
河西区天塔环湖南里,"117.193333,39.086894"
东丽区华明镇建邦时代汇,"117.39184,39.173248"
宝坻区钰华街泰达金色领地,"117.303786,39.697582"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
津南区咸水沽津南新城合力园,"117.397799,39.00659"
西青区大寺金友花园,"117.233048,39.000191"
河东区唐口嘉华小区,"117.250158,39.135239"
南开区八里台观景里,"117.157075,39.096184"
北辰区宜兴埠普润家园,"117.202378,39.205673"
河东区二号桥靓东花园,"117.308627,39.103522"
和平区南市金茂广场(商住楼),"117.188525,39.13691"
津南区津南八里台嘉泰翰林学府,"117.332415,38.941274"
南开区鼓楼煦园新居,"117.193917,39.145412"
南开区鼓楼煦园新居,"117.193917,39.145412"
北辰区双街镇柴楼新庄园兴园,"117.112479,39.273978"
西青区大寺天任里,"117.250221,39.037161"
南开区万兴街群富里,"117.179555,39.125471"
武清区杨村街君利商厦,"117.075647,39.379625"
红桥区咸阳北路街河怡花园,"117.141114,39.172879"
南开区王顶堤郁园里,"117.142999,39.09868"
南开区万兴街同安里(南开),"117.180979,39.125607"
和平区南营门气象西里,"117.192301,39.116047"
南开区鼓楼煦园新居,"117.193917,39.145412"
河西区梅江富华梅江公馆,"117.230646,39.079856"
东丽区张贵庄街好美嘉园,"117.303111,39.117646"
开发区第四大街桐景园,"114.996337,35.804964"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
和平区南营门金德园,"117.196926,39.123973"
塘沽区杭州道街长征里,"117.668046,39.043873"
南开区王顶堤王顶堤故里,"117.143762,39.102504"
